col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
Utgoff," P. E.	Shift of bias for inductive concept learning.	Vol. II","	pp. 107-148.	?","	?","	Morgan Kaufmann","	Los Altos"," CA.	?","	Machine Learning: An Artificial Intelligence Approach","	In Michalski", R., Carbonell, J., & Mitchell, T. (Eds.)
Utgoff," P. E.	Shift of bias for inductive concept learning.	Vol. II","	pp. 107-148.	?","	?","	Morgan Kaufmann","	Los Altos"," CA.	?","	Machine Learning: An Artificial Intelligence Approach","	In Michalski", R., Carbonell, J., & Mitchell, T. (Eds.)
Utgoff," P. E.	Shift of bias for inductive concept learning.	Vol. II","	pp. 107-148.	?","	?","	Morgan Kaufmann","	Los Altos"," CA.	?","	Machine Learning: An Artificial Intelligence Approach","	In Michalski", R., Carbonell, J., & Mitchell, T. (Eds.)
Mitchell, T. M., Utgoff, P., & Banerji," R.	(1983) Learning by experimentation: Acquiring and refining problem-solving heuristics.     	?","	(pp. 163-190).	?","	?","	M. Kaufmann.	San Mateo"," CA:	?","	Machine leaning: An artificial intelligence approach	In R. Michalski", J. Carbonell, & T. Mitchell (Eds.),"	?"
Hampson, D., & Kibler," S.	Large plateaus and plateau search in boolean satisfia-bility problems: When to give up       searching and start again.     	vol.26","	pp. 437-456.	?","	?","	American Mathematical Society.	?","	?","	DIMACS Series in Discrete Mathematics and Theoretical Computer Science: Cliques",       Colors and Satisfiability,"     	In Johnson", D., & Trick, M. (Eds.)
Hampson, D., & Kibler," S.	Large plateaus and plateau search in boolean satisfia-bility problems: When to give up       searching and start again.     	vol.26","	pp. 437-456.	?","	?","	American Mathematical Society.	?","	?","	DIMACS Series in Discrete Mathematics and Theoretical Computer Science: Cliques",       Colors and Satisfiability,"     	In Johnson", D., & Trick, M. (Eds.)
Mitchell, T., Utgoff, P. & Banerji," R.	Learning by experimentation: acquiring and refining problem-solving heuristics","	?","	?","	?","	?","	Tioga Press.	Palo Alto"," California:	?","	""in -""Machine Learning", An Artificial Intelligence Approach," Volume I-"""
Mitchell, T., Utgoff, P. & Banerji," R.	Learning by experimentation: acquiring and refining problem-solving heuristics","	?","	?","	?","	?","	Tioga Press.	Palo Alto"," California:	?","	""in -""Machine Learning", An Artificial Intelligence Approach," Volume I-"""
Mitchell, T., Utgoff, P. & Banerji," R.	Learning by experimentation: acquiring and refining problem-solving heuristics","	""Volume I- ?","	?","	?","	?","	Tioga Press.	Palo Alto"," California:	?","	""in -""Machine Learning", An Artificial Intelligence Approach,"	?"
S.E. Fahlman,"	""-""Faster-learning Variations on Backpropagation : An Empirical Study",-?,"	?","	?","	1988.	?","	Mor-gan Kaufmann","	?","	?","	in 1988 Connectionist Models Summer School","	T.J. Sejnowski", G.E. Hinton, and D.S. Touretzky," Eds.	?"
T. Mitchell, T. Utgoff," and R. Banerji.	Learning problem solving heuristics by experimentation.	?","	?","	?","	?","	Morgan Kaufmann","	Palo Alto", CA,"	?","	Machine Learning: An Artificial Intelligence Approach.	In R. Michalski", T. Mitchell, and J. Carbonell, editors
T. Mitchell, T. Utgoff," and R. Banerji.	Learning problem solving heuristics by experimentation.	?","	?","	?","	?","	Morgan Kaufmann","	Palo Alto", CA,"	?","	Machine Learning: An Artificial Intelligence Approach.	In R. Michalski", T. Mitchell, and J. Carbonell, editors
Utgoff," P.	Shift of bias for inductive concept learning.	volume 2","	pages 163-190.	?","	?","	Morgan Kaufmann","	Los Altos"," CA.	?","	Machine Learning","	In Michalski", R., Carbonell, J., and Mitchell, T.
Utgoff," P.	Shift of bias for inductive concept learning.	volume 2","	pages 163-190.	?","	?","	Morgan Kaufmann","	Los Altos"," CA.	?","	Machine Learning","	In Michalski", R., Carbonell, J., and Mitchell, T.
Utgoff," P.	Shift of bias for inductive concept learning.	volume 2","	pages 163-190.	?","	?","	Morgan Kaufmann","	Los Altos"," CA.	?","	Machine Learning","	In Michalski", R., Carbonell, J., and Mitchell, T.
Utgoff," Paul E.	Shift of bias for inductive concept learning.	Volume II","	pages 107-148.	?","	?","	Morgan Kaufmann","	Los Altos", CA,"	?","	Machine Learning. An Artificial Intelligence Approach.	In Michalski", Ryszard S., Carbonell, Jaime G., and Mitchell, Tom M.
Utgoff," Paul E.	Shift of bias for inductive concept learning.	Volume II","	pages 107-148.	?","	?","	Morgan Kaufmann","	Los Altos", CA,"	?","	Machine Learning. An Artificial Intelligence Approach.	In Michalski", Ryszard S., Carbonell, Jaime G., and Mitchell, Tom M.
Utgoff," Paul E.	Shift of bias for inductive concept learning.	Volume II","	pages 107-148.	?","	?","	Morgan Kauf-mann","	Los Altos", CA,"	?","	Machine Learning. An Artificial Intelligence Approach.	In Michalski", Ryszard S., Car-bonell, Jaime G., and Mitchell, Tom M.
Fahlman," S. E.	Fast-learning variations on back-propagation: An empirical study.	?","	pages 38-51","	1989.	?","	Mor-gan Kaufmann","	San Mateo"," CA.	?","	Proceedings of the 1988 Connectionist Models Summer School","	In Touretzky", D., Hinton, G., and Sejnowski, T.
T. M. Mitchell, P. E. Utgoff," and R. Banerji.	Learning by experimentation : Acquiring and refining problem-solving heuristics.	Vol. 1.","	pages 163-190.	?","	?","	Morgan Kaufmann","	Los Altos", California,"	?","	Machine Learning : An Artificial Intelligence Approach","	In R. S. Michalski", J. G. Carbonell, and T. M. Mitchell, editors
Mitchell, T. M., Utgoff, P. E. and Banerji, R.,"	Learning by Experimentation: Acquiring and Refining ProblemSolving Heuristics","	?","	?","	?","	?","	Tioga","	Palo Alto", California,"	?"
Utgoff, P.,"	Shift of Bias for Inductive Concept Learning","	Vol. II","	?","	?","	?","	Morgan Kaufmann Publishers","	?","	?","	in Machine Learning: An Artificial Intelligence Approach	Michalski", R.S., Carbonell, J.G.
Tom M. Mitchell, Paul E. Utgoff," and Ranan Banerji.	""-""Learning by Experimentation: Acquiring and Refining Problem-Solving Heuristics     ""	Volume I","	?","	?","	?","	Tioga Publishing Company","	Palo Alto"," CA	?","	"".-"" In Machine 58 Learning: An Artificial Intelligence Approach","	Michalski", Ryszard S., Car--bonell, Jamie G.
Fahlman, S. E. and Lebiere," C.	The Cascade-Correlation Learning Architecture.	?","	?","	(1990)	?","	?","	Pittsburgh"," PA.	?","	?","	?","	Technical Report #CMU-CS-90-100","	School of Computer Science", Carnegie Mellon University,"	?"
Fahlman, S. E. and Lebiere," C.	The Cascade-Correlation learning architecture.	?","	?","	(1990).	?","	?","	Pittsburgh"," PA 15213.	?","	?","	?","	Technical Report CMU-CS-90-100","	School of Computer Science", Carnegie Mellon University,"	?"
Fahlman, S. E. and Lebiere," C.	The Cascade-Correlation learning architecture.	?","	?","	(1990).	?","	?","	Pittsburgh"," PA.	?","	?","	?","	Technical Report CMU-CS-90-100","	School of Computer Science", Carnegie Mellon University,"	?"
S. E. Fahlman,"	An Empirical Study of Learning Speed in Back-Propagation Networks","	?","	?","	1988.	?","	?","	?","	?","	?","	?","	Technical Report","	CMU-CS-TR-88-162", Carnegie Mellon University,"	?"
S. E. Fahlman,"	An Empirical Study of Learning Speed in Back-Propagation Networks","	?","	?","	1988.	?","	?","	?","	?","	?","	?","	Technical Report","	CMU-CS-TR-88-162", Carnegie Mellon University,"	?"
Fahlman," S.E.	An empirical study of learning speed in back-propagation networks","	?","	?","	(1988)	?","	?","	?","	?","	?","	?","	CMU-CS-88-162","	School of Computer Science"," Carnegie Mellon University.	?","	?"
Fahlman, S. and Lebiere," C.	The Cascade-Correlation Learning Architecture.	?","	?","	(1990).	?","	?","	Pittsburgh"," PA 15213.	?","	?","	?","	CMU-CS-90-100","	School of Computer Science", Carnegie-Mellon University,"	?"
Fahlman, S. and Lebiere," C.	The Cascade-Correlation Learning Architecture.	?","	?","	(1990).	?","	?","	Pittsburgh"," PA 15213.	?","	?","	?","	CMU-CS-90-100","	School of Computer Science", Carnegie-Mellon University,"	?"
Fahlman, S. and Lebiere," C.	The Cascade-Correlation Learning Architecture.	?","	?","	(1990).	?","	?","	Pittsburgh"," PA 15213.	?","	?","	?","	CMU-CS-90-100","	School of Computer Science", Carnegie-Mellon University,"	?"
Fahlman, S. and Lebiere," C.	The Cascade-Correlation Learning Architecture.	?","	?","	(1990).	?","	?","	Pittsburgh"," PA 15213.	?","	?","	?","	CMU-CS-90-100","	School of Computer Science", Carnegie-Mellon University,"	?"
Fahlman, S. and Lebiere," C.	The Cascade-Correlation Learning Architecture.	?","	?","	(1990).	?","	?","	Pittsburgh"," PA 15213.	?","	?","	?","	CMU-CS-90-100","	School of Computer Science", Carnegie-Mellon University,"	?"
Fahlman, S. and Lebiere," C.	The Cascade-Correlation Learning Architecture.	?","	?","	(1990).	?","	?","	Pittsburgh"," PA 15213.	?","	?","	?","	CMU-CS-90-100","	School of Computer Science", Carnegie-Mellon University,"	?"
Fahlman, S. and Lebiere," C.	The Cascade-Correlation Learning Architecture.	?","	?","	(1990).	?","	?","	Pittsburgh"," PA 15213.	?","	?","	?","	CMU-CS-90-100","	School of Computer Science", Carnegie-Mellon University,"	?"
Fahlman, S. E. and Lebiere," C.	The Cascade-correlation Learning Architecture.	?","	?","	(1990).	?","	?","	Pittsburgh"," PA.	?","	?","	?","	Technical Report CMU-CS-90-100","	School of Computer Science", Carnegie-Mellon University,"	?"
Fahlman, S. E. and Lebiere," C.	The Cascade-correlation Learning Architecture.	?","	?","	(1990).	?","	?","	Pittsburgh"," PA.	?","	?","	?","	Technical Report CMU-CS-90-100","	School of Computer Science", Carnegie-Mellon University,"	?"
Fahlman, S. E. & Lebiere," C.	The Cascade-correlation Learning Architecture.	?","	?","	(1990).	?","	?","	Pittsburgh"," PA.	?","	?","	?","	Technical Report CMU-CS-90-100","	School of Computer Science", Carnegie-Mellon University,"	?"
S. E. Fahlman,"	""-""An empirical study of learning speed in back-propagation networks",-?,"	?","	?","	1988.	?","	?","	?","	?","	?","	?","	Tech. Rep.	CMU-CS-88-162", Computer Science Department, Carnegie Mellon University
Fahlman, S. E., & Lebiere," C.	Cascade-correlation learning architecture	?","	?","	(1989).	?","	?","	Pittsburgh"," PA:	?","	?","	?","	Technical rep. CMU-CS-90-100).	Carnegie Mellon University"," Computer Science Department.	?","	?"
Fahlman, S. E., & Lebiere," C.	Cascade-correlation learning architecture	?","	?","	(1989).	?","	?","	Pittsburgh"," PA:	?","	?","	?","	Technical rep. CMU-CS-90-100).	Carnegie Mellon University"," Computer Science Department.	?","	?"
Fahlman, S. E., & Lebiere," C.	Cascade-correlation learning architecture	?","	?","	(1989).	?","	?","	Pittsburgh"," PA:	?","	?","	?","	Tech. rep. CMU-CS-90-100).	Carnegie Mellon University"," Computer Science Department.	?","	?"
Steele, Guy L., Jr., Fahlman, Scott E., Gabriel, Richard P., Moon, David     A., Weinreb, Daniel L., Bobrow, Daniel G., DeMichiel
Thrun, S.B., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J., De     Jong, K.
Thrun, S.B., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J., De     Jong, K.
Thrun, S., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J., De     Jong, K.
Thrun, S., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J., De     Jong, K.
Thrun, S., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J., De     Jong, K.
Thrun, S., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J., De     Jong, K.
Thrun, S. B., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J., De     Jong, K.
Thurn, S. B., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J., De     Jong, K.
Thrun, S.B., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J., De     Jong, K.A.
Utgoff," P. E.	Decision tree induction based on efficient tree restructuring	?","	?","	?","	?","	?","	Amherst"," MA:	?","	?","	?","	?","	University of Massachusetts"," Department of Computer Science.	?","	(1995).	(Technical Report 95-18)."
Utgoff," P. E.	Decision tree induction based on efficient tree restructuring	?","	?","	?","	?","	?","	Amherst"," MA:	?","	?","	?","	?","	University of Massachusetts"," Department of Computer Science.	?","	(1995).	(Technical Report 95-18)."
Danyluk, A. & Provost," F.	Small disjuncts in action: Learning to diagnose errors in the telephone network local       loop","     	?","	pp. 81-88.	?","	?","	Morgan Kaufmann Publishers", Inc.,"	?","	?","	`Machine Learning: Proceedings of the Tenth International Conference-","     	in P. Utgoff", ed.,"	?"
Fahlman," S. E.	The recurrent cascade-correlation learning algorithm.	?","	pages 190-196.	(1991).	?","	Morgan Kaufmann.	San Mateo"," CA:	?","	NIPS 3","	In Lippmann", R. P., Moody, J. E., and Touretzky, D. S., editors,"	?"
T. M. Mitchell, P. E. Utgoff," and R. B. Banerji.	Learning by experimentation: Acquiring and refining problem-solving heuristics.	volume 1.	?","	?","	?","	Morgan Kaufmann","	?","	?","	Machine learning: An artificial intelligence approach","	In R. S. Michalski", J. G. Carbonell, and T. M. Mitchell, editors,"	?"
S. E. Fahlman,"	""-""Faster-Learning Variations on Back-Propagation: An Empirical Study",-?,"	?","	pp. 38-51","	1989.	?","	Morgan Kauffman","	San Mateo"," CA:	?","	Proc. of the 1988 Connectionist Models Summer School","	D. Touretzky", G. Hinton and T. Sejnowski, eds.,"	?"
Mitchell, T.; Utgoff, P.; and Banerji," R.	Learning by experimentation: Acquiring and refining problem-solving heuristics.	volume 1.	?","	?","	?","	Morgan Kaufmann.	?","	?","	Machine learning: An artificial intelligence approach","	In Michalski", R., and et al., eds.,"	?"
S. Fahlman,"	""-""The recurrent cascade-correlation architecture",-?,"	3	pp. 190-196","	1991.	?","	Morgan Kaufmann Publishers","	(San Mateo", CA),"	?","	in Advances in Neural Information Pro--cessing Systems	R. Lippmann", J. Moody, and D. Touretzky," eds.	?","	?"
S. Fahlman,"	""-""The recurrent cascade-correlation architecture",-?,"	3	pp. 190-196","	1991.	?","	Morgan Kaufmann Publishers","	(San Mateo", CA),"	?","	in Advances in Neural Information Processing Systems	R.P.Lippmann", J. Moody, and D. Touretzky, eds.),"	?"
Fahlman," S. E.	(1988) Faster-Learning Variations on Back-Propagation: An Empiri cal Study.	?","	pp. 38-51.	?","	?","	Morgan Kaufmann","	San Mateo", CA,"	?","	Proceedings of 1988 Connectionist Models Summer School","	Touretzky", D., Hinton," G and Sejnowski T. (Eds.)	?","	?"
Vitek, J., Horspool, R. N., and Uhl," J. S.	Compile-time analysis of object-oriented programs.	?","	pp. 236-250.	1992.	?","	Springer-Verlag","	Berlin", Germany,"	volume 641 of Lecture Notes in Computer Science", (Paderborn, Germany," Oct.).	Proceedings of the Fourth International Conference on Compiler Construction"
Utgoff," P.	An Improved Algorithm for Incremental Induction of Decision Trees.	?","	pages 318-325","	?","	?","	Morgan Kaufmann.	Rutgers University", New Brunswick, NJ,"	?","	Proceedings of the Eleventh International Conference on Machine Learning","	In Cohen", W. and Hirsh, H., editors
Utgoff," P.	An Improved Algorithm for Incremental Induction of Decision Trees.	?","	pages 318-325","	?","	?","	Morgan Kaufmann.	Rutgers University", New Brunswick, NJ,"	?","	Proceedings of the Eleventh International Conference on Machine Learning","	In Cohen", W. and Hirsh, H., editors
Utgoff," P.	An Improved Algorithm for Incremental Induction of Decision Trees.	?","	pages 318-325","	?","	?","	Morgan Kaufmann.	Rutgers University", New Brunswick, NJ,"	?","	Proceedings of the Eleventh International Conference on Machine Learning","	In Cohen", W. and Hirsh, H., editors
S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De     Jong, S. Dzeroski andS.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J.     Kreuziger
Kibler," D.	Natural Generation of Heuristics by Transforming the the Problem Representation.	?","	?","	?","	?","	?","	?","	?","	?","	?","	?","	University of California", Irvine, CA
Mitchell, T. M., Utgoff, P. E. & Banerji," R. B.	Learning by experimentation: Acquiring and refining problem-solving heuristics.	(Vol. I)","	?","	?","	?","	Morgan Kaufmann","	San Mateo"," CA.	?","	Machine Learning: An Artificial Intelligence Approach	In R.S. Michalski", J.G. Carbonell, & T.M. Mitchell (Eds.)
Mitchell, T. M., Utgoff, P. E. & Banerji," R. B.	Learning by experimentation: Acquiring and refining problem-solving heuristics.	(Vol. I)","	?","	?","	?","	Morgan Kaufmann","	San Mateo"," CA.	?","	Machine Learning: An Artificial Intelligence Approach	In R.S. Michalski", J.G. Carbonell, & T.M. Mitchell (Eds.)
Mitchell, T. M., Utgoff, P. E. & Banerji," R. B.	Learning by experimentation: Acquiring and refining problem-solving heuristics.	(Vol. I)","	?","	?","	?","	Morgan Kaufmann","	San Mateo"," CA.	?","	Machine Learning: An Artificial Intelligence Approach	In R.S. Michalski", J.G. Carbonell, & T.M. Mitchell (Eds.)
Thrun, S.; Bala, J.; Bloedorn, E.; Bratko, I.; Cestnik, B.; Cheng, J.; De     Jong, K.; Dzeroski, S.; Fahlman, S.; Fisher, D.; Hamann, R.; Kaufman, K.; Keller, S.; Kononenko
Thrun. S.B., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J., De     Jong, K.A., Dzeroski
T. E. Fawcett and P. E. Utgoff,"	Automatic feature generation for prob lem solving systems","	?","	?","	?","	?","	?","	?","	Discusses work forthcoming in a PhD dissertation about a system to derive features       relevant to solving a problem from automatic analysis of the structure of the problem.     	?","	?","	?","	University of Mas-sachusetts at Amherst", MA, Department of Computer and Information       Science
Bettina Buth, Karl-Heinz Buth, Martin Franzle, Burghard von Karger, Yassine     Lakhneche, Hans Langmaack," and Markus Muller-Olm.   	Provably correct compiler development and implementation.	?","	pages 141-155.	1992.	?","	Springer-Verlag","	?","	?","	Compiler Construction", number 641 in Lecture Notes in Computer Science,"	In U. Kastens and P. Pfahler"
Musick, R., Catlett, J., & Russell," S.	Decision theoretic subsampling for induction on large databases.	?","	pp. 212-219	?","	?","	Morgan Kaufmann.	San Francisco"," CA.	?","	Proceedings of the Tenth International Conference on Machine Learning","	In Utgoff", P. E. (Ed.),"	?"
Mitchell, T., Utgoff, P., & Banerji," R.	Learning by experimentation: Acquiring and refining problem-solving heuristics.	Vol.1.	?","	?","	?","	Morgan Kaufmann.	?","	?","	Machine learning: An artificial intelligence approach","	In Michalski", R., & et al. (Eds.)
Mitchell, T., Utgoff, P., & Banerji," R.	Learning by experimentation: Acquiring and refining problem-solving heuristics.	Vol. 1.	?","	?","	?","	Morgan Kaufmann.	?","	?","	Machine learning: An artificial intelligence approach","	In Michalski", R., & et al. (Eds.)
Mitchell, T., Utgoff, T., and Banerji," R.	Learning problem solving heuristics by experimentation.	?","	?","	?","	?","	Morgan Kaufmann.	Palo Alto"," CA:	?","	Machine Learning: An Artificial Intelligence Approach.	In Michalski", R., Mitchell
S.B. Thrun, J. Bala, E. Bloedorn, B. Cheng I. Bratko, S. Dzeroski k.     De-Jong, S. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R.     Michalski, T. Mitchell
T. M. Mitchell, P. Utgoff," and R. Banerji.	Learning by experimentation: acquiring and refining problem-solving heuristics.	1","	?","	?","	?","	Tioga","	Palo Alto", Ca,"	?","	Machine Learning"," vol.	In J. G. Carbonell", R. S. Michalski, and T. M. Mitchell
T. M. Mitchell, P. E. Utgoff," and R. B. Banerji.	Learning by experimentation: Acquiring and refining problem-solving heuristics.	(volume I).	?","	?","	?","	Morgan Kaufmann","	?","	?","	Machine Learning An Artificial Intelligence Approach	In S. Michalski", Ryszard, G. Carbonell, Jaime, REFERENCES 44 and T. M. Mitchell,       editors
T. M. Mitchell, P. E. Utgoff," and R. B. Banerji.	Learning by experimentation: Acquiring and refining problem-solving heuristics.	(volume I).	?","	?","	?","	Morgan Kaufmann","	?","	?","	Machine Learning An Artificial Intelligence Approach	In S. Michalski", Ryszard, G. Carbonell, Jaime, REFERENCES 44 and T. M. Mitchell,       editors
S. B. Thrun, J. Bala, E. Bloendorn, I. Bratko, B. Cestnik, J. Cheng, K. De     Jong, S. D^zeroski, S. E. Fahlman, D. Fisher, R. Hamann, K. Kauf-man, S. Keller, I. Kononenko
S. B. Thrun, J. Bala, E. Bloendorn, I. Bratko, B. Cestnik, J. Cheng, K. De     Jong, S. D^zeroski, S. E. Fahlman, D. Fisher, R. Hamann, K. Kauf-man, S. Keller, I. Kononenko
S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De     Jong, S. Dzeroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kauf-man, S. Keller, I. Kononenko
S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De     Jong, S Dzroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko
S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De     Jong, S Dzroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko
S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De     Jong, S. Dzeroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko
S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De     Jong, S. Dzeroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko
S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De     Jong, S. Dzeroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko
S. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong,     S. Dzeroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko
S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De     Jong, S. Dzeroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko
S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De     Jong, S. Dzeroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko
S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De     Jong, S. Dzeroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko
S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De     Jong, S. Dzeroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko
S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De     Jong, S. Dzeroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko
S. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong,     S. Dzeroski, D. Fisher, S. E. Fahlman, R. Hamann, K. Kaufman, S. Keller, I. Kononenko
S. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong,     S. Dzeroski, D. Fisher, S. E. Fahlman, R. Hamann, K. Kaufman, S. Keller, I. Kononenko
S. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong,     S. Dzeroski, D. Fisher, S. E. Fahlman, R. Hamann, K. Kaufman, S. Keller, I. Kononenko
S. B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. de     Jong, S. Dze-roski, S. E. Fahlman, D. Fisher, R. Hamann, K. Kaufaman, S. Keller, I. Kononenko
S. B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. de     Jong, S. Dze-roski, S. E. Fahlman, D. Fisher, R. Hamann, K. Kaufaman, S. Keller, I. Kononenko
S. B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. de     Jong, S. Dzeroski, S. E. Fahlman, D. Fisher, R. Hamann, K. Kaufaman, S. Keller, I. Kononenko
Fahlman," S. E.	CMU Benchmark Collection for Neural Net Learning Algorithms","	?","	?","	(1993)","	?","	?","	Pittsburgh.	?","	?","	?","	?","	Carnegie Mellon University", School of Computer Science,"	?"
S. Fahlman and C. Lebiere,"	The casade-correlation learning architecture","	?","	?","	1990.	?","	?","	?","	?","	?","	?","	Tech. Report CMU-CS-90-100","	Carnegie Mellon University", School of Computer Science,"	?"
Fahlman," S.E.	`Fast-learning variations on back-propagation: An empirical study-","	?","	38-51.	(1989)	?","	Morgan Kaufmann","	San Mateo"," CA:	?","	Proc. 1988 Connectionist Models Summer School","	Touretzky", D., Hinton, G., Sejnowski, T. (eds.)
