address,authors,authors_original,booktitle,date,editor,editors_original,id,institution,journal,month,note,pages,publisher,tech,title,type,volume,year
paderborn frg ,d f brown h moura and d a watt actress ,d f brown h moura and d a watt actress ,proceedings of the 4th international conference on compiler construction cc 92 ,october 1992 ,in u kastens and p pfahler editors ,,18,,,,volume 641 of lecture notes in computer science ,pages 95 109 ,springer verlag ,,an action semantics directed compiler generator ,,,
,b buth k h buth m franzle b v karger y lakhneche h langmaack and m muller olm ,b buth k h buth m franzle b v karger y lakhneche h langmaack and m muller olm ,compiler construction ,1992 ,in u kastens and p pfahler editors ,,19,,,,volume 641 of lecture notes in computer science ,,springer verlag ,,provably correct compiler development and implementation ,,,
,b buth et al ,b buth et al ,compiler construction ,1992 ,in u karstens and p pfahler eds ,,20,,,,,pp 141 155 ,springer verlag lncs 641 ,,provably correct compiler implementation ,,,
,b buth et al ,b buth et al ,compiler construction ,1992 ,in u karstens and p pfahler eds ,,21,,,,,pp 141 155 ,springer verlag lncs 641 ,,provably correct compiler implementation ,,,
,b buth et al ,b buth et al ,compiler construction ,1992 ,in u karstens and p pfahler eds ,,22,,,,,pp 141 155 ,springer verlag lncs 641 ,,provably correct compiler implementation ,,,
,bettina buth karl heinz buth martin franzle burghard von karger yassine lakhneche hans langmaack and markus muller olm ,bettina buth karl heinz buth martin franzle burghard von karger yassine lakhneche hans langmaack and markus muller olm ,compiler construction number 641 in lecture notes in computer science ,1992 ,in u kastens and p pfahler editors ,,23,,,,,pages 141 155 ,springer verlag ,,provably correct compiler development and implementation ,,,
ny ,conklin j ,conklin j ,in computer supported cooperative work a book of readings ,1985 ,ed irene greit ,,24,,,,,513,morgan kaufmann ,,hypertext an introduction and survey ,,,
hillsdale nj ,cramer n l ,cramer n l ,proceedings of an international conference on genetic algorithms and their applications , 1985 ,in grefenstette j editor ,,25,,,,,pages 183 187 ,lawrence erlbaum associates ,,a representation for the adaptive generation of simple sequential programs ,,,
pittsburgh pa ,daelemans w van den bosch a and weijters t ,daelemans w van den bosch a and weijters t ,, 1995 ,s e and lebiere c ,,26,school of computer science carnegie mellon university ,,,,,,technical report cmu cs 90 100 , 1990 the cascade correlation learning architecture ,,,
,,,proceedings of the third international conference on genetic algorithms ,,in j schaffer ed ,,27,,,,,pp 42 50 ,morgan kaufmann ,,an investigation of niche and species formation in genetic function op timization ,,,
,,,proceedings of the third international conference on genetic algorithms ,,in j schaffer ed ,,28,,,,,pp 42 50 ,morgan kaufmann ,,an investigation of niche and species formation in genetic function optimization ,,,
,,,proceedings of the third international conference on genetic algorithms , 1989 ,in j schaffer ed ,,29,,,,,pp 42 50 ,morgan kaufmann ,,an investigation of niche and species formation in genetic function optimization ,,,
,dempster a laird n and rubin d ,dempster a laird n and rubin d ,, 1977 ,,,30,,journal of the royal statistical society b ,,,1 38 ,,,maximum likelihood from incomplete data via the em algorithm ,,39,
,dempster a laird n and rubin d ,dempster a laird n and rubin d ,, 1977 ,,,31,,journal of the royal statistical society b ,,,1 38 ,,,maximum likelihood from incomplete data via the em algorithm ,,39,
,m dill and m ,m dill and m ,,,,,32,,perception psychophysics in press ,,,,,,fahle,,,
,m dill and m ,m dill and m ,,,,,33,,perception psychophysics in press ,,,,,,fahle,,,
,m dill and m ,m dill and m ,proceedings of the royal society london b in press ,,,,34,,,,,,,,fahle,,,
,m dill and m ,m dill and m ,proceedings of the royal society london b in press ,,,,35,,,,,,,,fahle,,,
,dutta s and shekhar s ,dutta s and shekhar s ,in international joint conference on neural networks ,1988 ,,,36,computer and information sciences university of florida,,,,pages 443 450 ,,tr91 008,bond rating a non conservative application of neural networks ,,volume 2 ,
,m fahle and t poggio ,m fahle and t poggio ,proceedings of the royal society of london b ,1981 ,,,37,,,,,451 477 ,,,visual hyperacuity spatiotemporal interpolation in human vision ,,213,
,fahle m ,fahle m ,,,,,38,,vis res ,,,2149 2184 ,,, 1991 parallel perception of vernier offsets curvature and chevrons in humans ,,31,
,fahle m w and edelman s ,fahle m w and edelman s ,, 1992 ,,,39,,vision research ,,,,in press ,,learning in hyperacuity influence of stimulus range and of feedback ,,,
,m fahle and s edelman ,m fahle and s edelman ,,1993 ,,,40,,vision research ,,,397 412 ,,,long term learning in vernier acuity effects of stimulus orientation range and of feedback ,,33 3 ,
,fahle m edelman s ,fahle m edelman s ,, 1993 ,,,41,,vision research ,,,397 412 ,,,long term learning in vernier acuity effects of stimulus orientation range and of feedback ,,33,
,fahle m edelman s ,fahle m edelman s ,,,,,42,,vision research ,,,397 412 ,,,,,33,
,fahle m edelman s and poggio t ,fahle m edelman s and poggio t ,, 1995 ,,,43,,vision research ,,,3003 3013 ,,,fast perceptual learning in hyperacuity ,,35,
,fahle m edelman s and poggio t ,fahle m edelman s and poggio t ,, 1995 ,,,44,,vision research ,,,3003 3013 ,,,fast perceptual learning in hyperacuity ,,35,
,fahle m edelman s and poggio t ,fahle m edelman s and poggio t ,, 1995 ,,,45,,vision research ,,,3003 3013 ,,,fast perceptual learning in hyperacuity ,,35,
,fahle m edelman s poggio t ,fahle m edelman s poggio t ,,,,,46,,vision research ,,,3003 3013 ,,,,,35,
,fahle m ,fahle m ,, 1997 ,,,47,,vision research ,,,1885 1895 66,,,specificity of learning curvature orientation and vernier discriminations ,,37 14 ,
,fahle m ,fahle m ,,,,,48,,vision research ,,,1885 1895 ,,,,,37 14 ,
,lennart e fahlen charles grant brown olov stahl and christer carlsson ,lennart e fahlen charles grant brown olov stahl and christer carlsson ,in proceedings of interchi 93 ,1993 ,,,49,,,,,pages 4348 ,,,a space based model for user interaction in shared synthetic environments ,,,
,lennart e fahlen charles grant brown olov stahl and christer carlsson ,lennart e fahlen charles grant brown olov stahl and christer carlsson ,in proceedings of interchi 93 ,1993 ,,,50,,,,,pages 43 48 ,,,a space based model for user interaction in shared synthetic environments ,,,
,lennart e fahlen charles grant brown olov stahl and christer carlsson ,lennart e fahlen charles grant brown olov stahl and christer carlsson ,in proceedings of interchi 93 ,1993 ,,,51,,,,,pages 43 48 ,,,a space based model for user interaction in shared synthetic environments ,,,
,lennart e fahlen charles grant brown olov stahl and christer carlsson ,lennart e fahlen charles grant brown olov stahl and christer carlsson ,in proceedings of interchi 93 ,1993 ,,,52,,,,,pages 43 48 ,,,a space based model for user interaction in shared synthetic environments ,,,
,lennart e fahlen charles grant brown olov stahl and christer carlsson ,lennart e fahlen charles grant brown olov stahl and christer carlsson ,in proceedings of interchi 93 ,1993 ,,,53,,,,,pages 43 48 ,,,a space based model for user interaction in shared synthetic environments ,,,
,s fahlman ,s fahlman ,,1974 ,,,54,,artificial intelligence ,,,pp 1 49 ,,,a planning system for robot construction tasks ,,vol 5 ,
,s fahlman ,s fahlman ,,1974 ,,,55,,artificial intelligence ,,,pp 1 49 ,,,a planning system for robot construction tasks ,,vol 5 ,
,scott elliott fahlman ,scott elliott fahlman ,,1974 ,,,56,,artificial intelligence ,,,1 49 ,,,a planning system for robot construction tasks ,,5 1 ,
,scott elliott fahlman ,scott elliott fahlman ,,1974 ,,,57,,artificial intelligence ,,,1 49 ,,,a planning system for robot construction tasks ,,5 1 ,
,fahlman s e ,fahlman s e ,, 1974 ,,,58,,artificial intelligence ,,,1 49 ,,,a planning system for robot construction tasks ,,5 1 ,
,fahlman s e ,fahlman s e ,,1974 ,,,59,,artificial intelligence ,,,1 49 ,,,a planning system for robot construction tasks ,,5 1 ,
,s e fahlman ,s e fahlman ,,1974 ,,,60,,artificial intelligence ,,,1 49 ,,,a planning system for robot construction tasks ,,5,
,s e fahlman ,s e fahlman ,,1974 ,,,61,,artificial intelligence ,,,1 49 ,,,a planning system for robot construction tasks ,,5,
,s e fahlman ,s e fahlman ,,1974 ,,,62,,artificial intelligence ,,,1 49 ,,,a planning system for robot construction tasks ,,5,
,s fahlman ,s fahlman ,,1974 ,,,63,,artificial intelligence ,,,1 49 ,,,a planning system for robot construction tasks ,,5,
,s f fahlman ,s f fahlman ,artifical intel lignece 5 pp ,1974 ,,,64,,,,,1 49 ,,,a planning system for robot construction tasks ,,,
,s e fahlman ,s e fahlman ,,1974 ,,,65,,artificial intelligence ,,,1 49 ,,,a planning system for robot construction tasks ,,5,
,scott elliott fahlman ,scott elliott fahlman ,,1974 ,,,66,,artificial intelligence ,,,1 49 ,,,a planning system for robot construction tasks ,,5 1 ,
,fahlman s e ,fahlman s e ,,1979 ,,,67,,,,,,cambridge mit press ,,netl a system for representing and using real world knowledge ,,,
cambridge ma ,s e fahlman ,s e fahlman ,,1979 ,,,68,,,,,,mit press ,,netl a system for representing and using real world knowledge ,,,
,fahlman s ,fahlman s ,, 1979 ,,,69,,,,,,mit press ,,netl a system for representing and using real world knowledge ,,,
cambridge ma ,fahlman s e ,fahlman s e ,, 1979 ,,,70,,,,,,mit press ,,netl a system for representing and using real world knowledge ,,,
cambridge ma ,fahlman s e ,fahlman s e ,, 1979 ,,,71,,,,,,mit press ,,netl a system for representing and using real world knowledge ,,,
,fahlman s e ,fahlman s e ,, 1979 ,,,72,,,,,,mit press ,,netl a system for representing and using real world knowledge ,,,
cambridge ma ,fahlman s e ,fahlman s e ,, 1979 ,,,73,,,,,,the mit press ,,netl a system for representing and using real world knowledge ,,,
cambridge ma ,fahlman s e ,fahlman s e ,, 1979 ,,,74,,,,,,the mit press ,,netl a system for representing and using real world knowledge ,,,
,fahlman s e ,fahlman s e ,,1979 ,,,75,,,,,,cambridge mit press ,,netl a system for representing and using real world knowledge ,,,
,fahlman s e ,fahlman s e ,,1979 ,,,76,,,,,,cambridge mit press ,,netl a system for representing and using real world knowledge ,,,
,fahlman s e ,fahlman s e ,,1979 ,,,77,,,,,,cambridge mit press ,,netl a system for representing and using real world knowledge ,,,
,fahlman s e ,fahlman s e ,,1979 ,,,78,,,,,,mit press ,,netl a system for representing and using real world knowledge cam bridge ,,,
,fahlman s e ,fahlman s e ,,1979 ,,,79,,,,,,cambridge mit press ,,netl a system for representing and using real world knowledge ,,,
cambridge ma ,fahlman s e ,fahlman s e ,, 1979 ,,,80,,,,,,mit press ,,netl a system for representing and using real world knowledge ,,,
cambridge ma ,scott e fahlman ,scott e fahlman ,,1979 ,,,81,,,,,,mit press ,,netl a system for representing and using real world knowledge ,,,
cambridge mass ,s e fahlman ,s e fahlman ,,1979 ,,,82,,,,,,mit press ,,netl a system for representing and using real world knowledge ,,,
,s e fahlman ,s e fahlman ,,,,,83,,,,,,mit press ,,netl a system for representing real world knowledge ,,,
cambridge ma ,scott e fahlman ,scott e fahlman ,,1979 ,,,84,,,,,,mit press ,,a system for representing and using real world knowledge ,,,
cambridge ma ,scott e fahlman ,scott e fahlman ,,1979 ,,,85,,,,,,mit press ,,a system for representing and using real world knowledge ,,,
cambridge ma ,scott e fahlman ,scott e fahlman ,,1979 ,,,86,,,,,,mit press ,,netl a system for representing and using real world knowledge ,,,
cambridge massachusetts ,s fahlman ,s fahlman ,,1979 ,,,87,,,,,,the mit press ,,netl a system for representing and using real world knowledge ,,,
,scott e fahlman ,scott e fahlman ,,1979 ,,,88,,,,,,mit press ,,netl a system for representing real world knowledge ,,,
cambridge ma ,scott e fahlman ,scott e fahlman ,,1979 ,,,89,,,,,,mit press ,,netl a system for representing and using real world knowledge ,,,
cambridge mas sachusetts ,s fahlman ,s fahlman ,,1979 ,,,90,,,,,,the mit press ,,netl a system for representing and using real world knowledge ,,,
,scott e fahlman ,scott e fahlman ,,1979 ,,,91,,,,,,the mit press ,,netl a system for representing and using real world knowledge ,,,
cambridge ma ,fahlman s e ,fahlman s e ,,1979 ,,,92,,,,,,mit press ,,netl a system for representing and using real world knowledge ,,,
massachusetts ,s fahlman ,s fahlman ,,1979 ,,,93,,,,,,mit press ,,netl a system for representing and using real world knowledge ,,,
cambridge ma ,s e fahlman ,s e fahlman ,,1977 ,,,94,,,,,,mit press ,,netl a system for representing and using real world knowledge ,,,
cambridge ma ,s e fahlman ,s e fahlman ,,1979 ,,,95,,,,,,mit press ,,netl a system for representing and using real world knowledge ,,,
cambridge ma u s a ,s e fahlman ,s e fahlman ,,1979 ,,,96,,,,,,mit press ,,netl a system for representing and using real world knowledge ,,,
cambridge ma ,s fahlman ,s fahlman ,,1979 ,,,97,,,,,,mit press ,,netl a system for representing and using real world knowledge ,,,
cambridge massachusetts ,s fahlman ,s fahlman ,,1979 ,,,98,,,,,,the mit press ,,netl a system for representing and using real world knowledge ,,,
,scott e fahlman ,scott e fahlman ,,1979 ,,,99,,,,,,mit press ,,netl a system for representing and using real world knowledge ,,,
,scott e fahlman ,scott e fahlman ,in the first annual conference on artificial intelligence aaai ,1980 ,,,100,,,,,,,,design sketch for a million element netl machine ,,,
hillsdale nj ,fahlman s ,fahlman s ,parallel models of associative memory , 1981 ,in g hinton and j anderson eds ,,101,,,,,,lawrence erlbaum associates ,,representing implicit knowledge ,,,
menlo park ,fahlman s touretzky d and van roggen w ,fahlman s touretzky d and van roggen w ,in proc ijcai 81 ,,,,102,,,,international joint conferences on ai ,257 263 ,,,cancellation in a parallel semantic network ,,,
,scott e fahlman ,scott e fahlman ,parallel processing in artificial intelligence parallel computing ,1985 ,,,103,,,,,283 286 ,,,extended abstract ,,2,
,fahlman s hinton g ,fahlman s hinton g ,, 1987 ,,,104,,computer ,,,100 109 ,,,connectionist architectures for artificial intelligence ,,20,
,scott e fahlman and geoffrey e hinton ,scott e fahlman and geoffrey e hinton ,,1987 ,,,105,,computer ,,,,,,connectionist architectures for artificial intelligence ,,20 1 ,
,fahlman s and hinton g ,fahlman s and hinton g ,, 1987 ,,,106,,computer ,,,100 118 ,,,connectionist architectures for artificial intelligence ,,20,
san mateo ca ,s e fahlman ,s e fahlman ,proc of the 1988 connectionist models summer school ,1989 ,d touretzky g hinton and t sejnowski eds ,,107,,,,,pp 38 51 ,morgan kauffman ,,faster learning variations on back propagation an empirical study ,,,
san mateo ca ,fahlman s ,fahlman s ,proc of the connectionist model summer school , 1988 ,in touretzky d hinton g and sejnowski t eds ,,108,,,,,,morgan kaufmann ,,faster learning variations on backpropagation an empirical study ,,,
,fahlman s e ,fahlman s e ,t , 1988 ,in g e hinton ,,109,,,,,,,,faster learning variations on back propagation ,,,
san mateo california ,fahlman s e ,fahlman s e ,proceedings of the 1988 connectionist models summer school , 1989 ,in touretzky d s hinton g sejnowski t eds ,,110,,,,,pp 38 51 ,morgan kaufmann ,,faster learning variations on back propagation an empirical study ,,,
san mateo ca ,fahlman s e ,fahlman s e ,in proc 1988 connectionist models summer school , 1988 ,,,111,,,,,,morgan kauffman,,faster learning variations on backpropagation an empirical study ,,,
san mateo ca ,fahlman s e ,fahlman s e ,proc 1988 connectionist models summer school , 1989 ,touretzky d hinton g sejnowski t eds ,,112,,,,,38 51 ,morgan kaufmann ,, fast learning variations on back propagation an empirical study ,,,
,fahlman s e ,fahlman s e ,proceedings of the 1988 connectionist models summer school , 1988 ,,,113,,,,,pp 38 51 ,morgan kaufmann ,,fast learning variations on backpropagation an empirical study ,,,
san mateo ,fahlman s e ,fahlman s e ,proceedings of the 1988 connectionist models summer school ,1989 ,in d touretzky g hinton t sejnowski eds ,,114,,,,,38 51, morgan kaufman ,,fast learning variations on back propagation an empirical study ,,,
san mateo ,fahlman s e ,fahlman s e ,proceedings of the 1988 connectionist models summer school ,1989 ,in d touretzky g hinton t sejnowski eds ,,115,,,,,38 51, morgan kaufman ,,fast learning variations on back propagation an empirical study ,,,
pittsburgh pa ,fahlman s e ,fahlman s e ,proceedings of the 1988 connectionist models summer school ,1989 ,in d touretzky g hinton t sejnowski eds ,,116,,,,,38 51, morgan kaufman san mateo ,,fast learning variations on back propagation an empirical study ,,,
pittsburgh pa ,fahlman s e ,fahlman s e ,proceedings of the 1988 connectionist models summer school ,1989 ,in d touretzky g hinton t sejnowski eds ,,117,,,,,38 1, morgan kaufman san mateo ,,fast learning variations on back propagation an empirical study ,,,
pittsburgh pa ,s fahlman ,s fahlman ,in procs of the 1988 connectionist models summer school ,1988 ,,,118,,,,,pages 38 51 ,,,faster learning variations on back propagation an empirical study ,,,
san mateo 1989 ,s e fahlman ,s e fahlman ,proceedings of the 1988 connectionist models summer school ,,in d touret zky g hinton and t sejnowski editors ,,119,,,,,pages 38 51 ,morgan kaufmann ,,fast learning variations on back propagation an empirical study ,,,
,s e fahlman ,s e fahlman ,in proceedings of the 1988 connectionists models summer school ,1988 ,,,120,,,,,,morgan kauffman inc ,,faster learning variations on back propagation an empirical study ,,,
,scott e fahlman ,scott e fahlman ,,1988 ,,,121,carnegie mellon university school of computer science ,,,120 bibliography,,,technical report cmu cs 88 162 ,faster learning variations on back propagation an empirical study ,,,
san mateo ca ,fahlman s ,fahlman s ,proceedings of the 1988 connectionist models summer school ,1988 ,in d touretzky g e hinton and t j sejnowski eds ,,122,,,,,38 51 ,morgan kaufmann,,e faster learning variations of backpropagation an empirical study ,,,
san mateo ca ,fahlman s ,fahlman s ,proceedings of the 1988 connectionist models summer school ,1988 ,in d touretzky g e hinton and t j sejnowski eds ,,123,,,,,38 51 ,morgan kaufmann,,e faster learning variations of backpropagation an empirical study ,,,
san mateo ca ,fahlman s ,fahlman s ,proceedings of the 1988 connectionist models summer school ,1988 ,in d touretzky g e hinton and t j sejnowski eds ,,124,,,,,38 51 ,morgan kaufmann,,e faster learning variations of backpropagation an empirical study ,,,
san mateo ca ,fahlman s e ,fahlman s e ,proceedings of the 1988 connectionist models summer school ,1989 ,in touretzky d hinton g and sejnowski t editors ,,125,,,,,pages 38 51 ,mor gan kaufmann ,,fast learning variations on back propagation an empirical study ,,,
san mateo ca ,fahlman s e ,fahlman s e ,proceedings of 1988 connectionist models summer school ,,touretzky d hinton g and sejnowski t eds ,,126,,,,,pp 38 51 ,morgan kaufmann ,, 1988 faster learning variations on back propagation an empiri cal study ,,,
,s e fahlman ,s e fahlman ,proceedings of the 1988 connectionist models summer school ,1988 ,in d touretzky g e hinton and t j sejnowski editors ,,127,,,,,pages 38 51 ,morgan kaufman ,,faster learning variations on back propagation an empirical study ,,,
,s e fahlman ,s e fahlman ,in 1988 connectionist models summer school ,1988 ,sejnowski g e hinton and d s touretzky editors ,,128,,,,,,morgan kauf mann ,,faster learning variations on backpropagation an empirical study in t j ,,,
san mateo ca ,fahlman s e ,fahlman s e ,proceedings of the 1988 connectionist models summer school ,1988 ,in d touretzky g e hinton and t j sejnowski eds ,,129,,,,,,morgan kaufmann publishers 38 51 ,,faster learning variations of backpropagation an empirical study ,,,
,s fahlmann ,s fahlmann ,proceedings of the 1988 connectionist models summer school ,1988 ,,,130,,,,,pp 38 51 ,,,faster learning variations on backpropagation an empirical study ,,,
,s fahlmann ,s fahlmann ,proceedings of the 1988 connectionist models summer school ,1988 ,,,131,,,,,pp 38 51 ,,,faster learning variations on backpropagation an empirical study ,,,
,s e fahlman ,s e fahlman ,in 1988 connectionist models summer school ,1988 ,t j sejnowski g e hinton and d s touretzky eds ,,132,,,,,,mor gan kaufmann ,,faster learning variations on backpropagation an empirical study ,,,
,fahlman s ,fahlman s ,proc of the 1988 connectionist models summer school ,1988,,,133,,,,,,morgan kaufmann ,,faster learning variations on back propagation an empirical study in ,,,
,s e fahlman ,s e fahlman ,in proceedings of the 1988 connectionist models summer school ,1988 ,,,134,,,,,,,,faster learning variations on back propagation an empirical study ,,,
,scott e fahlman ,scott e fahlman ,in proceedings of the 1988 connectionist models summer school pitts burg 1988 ,,,,135,,,,,38 51 ,morgan kaufmann ,,faster learning variations on back propagation an empirical study ,,,
,s fahlman ,s fahlman ,proceedings of the 1988 connectionist models summer school ,1988 ,in d touretzky g hinton and t sejnowsky editors ,,136,,,,,pages 38 51 ,morgan kauffman ,,faster learning variations on backpropagation an empirical study ,,,
,s fahlman ,s fahlman ,proceedings of the 1988 connectionist models summer school ,1988 ,in d touretzky g hinton and t sejnowsky editors ,,137,,,,,pages 38 51 ,morgan kauffman ,,faster learning variations on backpropagation an empirical study ,,,
,s fahlman ,s fahlman ,in connectionist models summer school ,1988 ,,,138,carnegie mellon ,,,,,,,faster learning variations on back propagation an empirical study ,,,
,s e fahlman ,s e fahlman ,in proceedings of the 1988 connectionist models summer school ,1988 ,,,139,,,,,,morgan kaufmann ,,faster learning variations on back propagation an empirical study ,,,
san mateo ca ,s e fahlman ,s e fahlman ,in proceedings of the 1988 connectionist models summer school ,1988 ,d s touretzky g e hinton and t j sejnowski eds ,,140,,,,,pp 38 51 ,morgan kaufmann ,,faster learning variations on backpropagation an empirical study ,,,
san mateo ca ,s e fahlman ,s e fahlman ,connectionist models summer school 1988 proceedings ,,in d s touretzky g e hinton and sejnowski editors ,,141,,,,,pages 38 51 ,morgan kaufmann ,,fast learning variations on back propagation an empirical study ,,,
,s e ,s e ,in proceedings of the 1988 connectionist summer school ,,,,142,,,,,,morgan kauf mann ,,fahlman 1988 faster learning variations on back propagation an empirical study ,,,
,s e ,s e ,in proceedings of the 1988 connectionist models summer school ,,,,143,,,,,,morgan kauf mann ,,fahlman 1988 faster learning variations on backpropagation an empirical study ,,,
san mateo ,fahlman s e ,fahlman s e ,in proceedings of the 1988 connectionist models summer school , 1989 ,eds d s touretzky g hinton and t ,,144,,,,,pp 38 51 ,morgan kauffmann ,,fast learning variations on backpropagation an empirical study ,,,
,scott fahlman ,scott fahlman ,in proceedings of the 1988 connectionist models summer school ,1988 ,,,145,,,,,,morgan kaufmann ,,faster learning variations on back propagation an empirical study ,,,
,s e fahlman ,s e fahlman ,,,,,146,carnegie mellon university,,,,,,technical report cmu cs 88 162 ,an empirical study of learning speed in backpropagation networks ,,,
pittsburgh pa ,scott e fahlman ,scott e fahlman ,,1988 ,,,147,school of computer science carnegie mellon university ,,,,,,technical report cmu cs 88 162 ,an empirical study of learning speed in back propagation networks ,,,
pittsburgh pa ,fahlman s e ,fahlman s e ,, 1988 ,,,148,computer science dept ,,,,,,technical report cmu cs 88 162 carnegie mellon university ,an empirical study of learning speed in backpropagation networks ,,,
pittsburg pa ,fahlman s e ,fahlman s e ,, 1988 ,,,149,department of computer science carnegie mellon university ,,,,,,technical report cmu cs 88 182 ,an empirical study of learning speed in backpropagation networks ,,,
,fahlman s e ,fahlman s e ,, 1988 ,,,150,carnegie mel lon university ,,,,,,technical report cmu cs 88 162 ,an empirical study of learning speed in back propagation networks ,,,
pittsburgh pa ,fahlman s e ,fahlman s e ,, 1988 ,,,151,school of computer science carnegie mellon university ,,,,,,technical report cmu cs 88 162 ,an empirical study of learning speed in back propagation networks ,,,
pittsburgh pa ,fahlman s e ,fahlman s e ,, 1988 ,,,152,computer science department carnegie mellon university ,,,,,,technical report cmu cs 88 162 ,an empirical study of learning speed in backpropagation networks ,,,
pittsburgh pa ,fahlman s e ,fahlman s e ,, 1988 ,,,153,computer science department carnegie mellon university ,,,,,,technical report cmu cs 88 162 ,an empirical study of learning speed in backpropagation networks ,,,
pittsburgh pa ,fahlman s e ,fahlman s e ,, 1988 ,,,154,computer science department carnegie mellon university ,,,,,,technical report cmu cs 88 162 ,an empirical study of learning speed in backpropagation networks ,,,
pittsburgh pa 15213 ,fahlman s e ,fahlman s e ,, 1988 ,,,155,school of computer science carnegie mellon university ,,,,,,technical report cmu cs 88 162 ,an empirical study of learning speed in backpropagation networks ,,,
pittsburgh pa ,fahlman s e ,fahlman s e ,,1988 ,,,156,school of computer science carnegie mellon university ,,,,,,technical report cmu cs 88 162 ,an empirical study of learning speed in backpropagation networks ,,,
pittsburgh pa ,fahlman s e ,fahlman s e ,,,,,157,department of computer science carnegie mellon university ,,,,,,technical report , 1988 an empirical study of learning speed in backpropagation networks cmu cs 88 162 ,,,
,fahlman s e ,fahlman s e ,, 1988 ,,,158,school of computer science carnegie mellon university ,,,,,,cmu cs 88 162 ,an empirical study of learning speed in back propagation networks ,,,
,fahlman scott ,fahlman scott ,,1988 ,,,159,department of computer science carnegie mellon university ,,,,,,technical report cmu cs 88 162 ,an empirical study of learning speed in back propagation networks ,,,
