col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
10011,ST VINCENT-S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Immunization for pneumonia,88,514,The hospital indicated that the data submitted for this measure were based on a sample of cases
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Immunization for influenza,95,230,The hospital indicated that the data submitted for this measure were based on a sample of cases
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Immunization for pneumonia,98,369,The hospital indicated that the data submitted for this measure were based on a sample of cases
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,Immunization for influenza,86,285,The hospital indicated that the data submitted for this measure were based on a sample of cases
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,Immunization for pneumonia,90,547,The hospital indicated that the data submitted for this measure were based on a sample of cases
10018,CALLAHAN EYE FOUNDATION HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Immunization for influenza,65,20,The number of cases is too small to reliably tell how well a hospital is performing
10018,CALLAHAN EYE FOUNDATION HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Immunization for pneumonia,32,40,Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,2563864556,Immunization for influenza,98,253,The hospital indicated that the data submitted for this measure were based on a sample of cases
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,2563864556,Immunization for pneumonia,98,433,The hospital indicated that the data submitted for this measure were based on a sample of cases
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,3347742601,Immunization for influenza,87,149,The hospital indicated that the data submitted for this measure were based on a sample of cases
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,3347742601,Immunization for pneumonia,90,318,The hospital indicated that the data submitted for this measure were based on a sample of cases
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,2569275531,Immunization for influenza,95,159,The hospital indicated that the data submitted for this measure were based on a sample of cases
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,2569275531,Immunization for pneumonia,96,366,The hospital indicated that the data submitted for this measure were based on a sample of cases
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Immunization for influenza,89,343,The hospital indicated that the data submitted for this measure were based on a sample of cases
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Immunization for pneumonia,84,482,The hospital indicated that the data submitted for this measure were based on a sample of cases
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Immunization for influenza,95,288,The hospital indicated that the data submitted for this measure were based on a sample of cases
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Immunization for pneumonia,90,573,The hospital indicated that the data submitted for this measure were based on a sample of cases
10025,GEORGE H. LANIER MEMORIAL HOSPITAL,4800 48TH ST,VALLEY,AL,36854,CHAMBERS,3347561400,Immunization for influenza,90,145,The hospital indicated that the data submitted for this measure were based on a sample of cases
10025,GEORGE H. LANIER MEMORIAL HOSPITAL,4800 48TH ST,VALLEY,AL,36854,CHAMBERS,3347561400,Immunization for pneumonia,94,261,The hospital indicated that the data submitted for this measure were based on a sample of cases
10027,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,ELBA,AL,36323,COFFEE,3348972257,Immunization for influenza,97,37,The hospital indicated that the data submitted for this measure were based on a sample of cases
10027,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,ELBA,AL,36323,COFFEE,3348972257,Immunization for pneumonia,98,47,The hospital indicated that the data submitted for this measure were based on a sample of cases
10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,3347493411,Immunization for influenza,63,1076,The hospital indicated that the data submitted for this measure were based on a sample of cases
10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,3347493411,Immunization for pneumonia,73,1844,The hospital indicated that the data submitted for this measure were based on a sample of cases
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,36278,RANDOLPH,2563572111,Immunization for influenza,36,179,No data are available from the hospital for this measure
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,36278,RANDOLPH,2563572111,Immunization for pneumonia,44,347,Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059344011,Immunization for influenza,87,287,The hospital indicated that the data submitted for this measure were based on a sample of cases
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059344011,Immunization for pneumonia,87,397,The hospital indicated that the data submitted for this measure were based on a sample of cases
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,3342836541,Immunization for influenza,81,169,The hospital indicated that the data submitted for this measure were based on a sample of cases
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,3342836541,Immunization for pneumonia,85,399,The hospital indicated that the data submitted for this measure were based on a sample of cases
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,2567372000,Immunization for influenza,100,300,The hospital indicated that the data submitted for this measure were based on a sample of cases
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,2567372000,Immunization for pneumonia,99,579,The hospital indicated that the data submitted for this measure were based on a sample of cases
10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,3342228466,Immunization for influenza,94,183,The hospital indicated that the data submitted for this measure were based on a sample of cases
10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,3342228466,Immunization for pneumonia,97,276,The hospital indicated that the data submitted for this measure were based on a sample of cases
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,CALHOUN,2562358900,Immunization for influenza,97,216,The hospital indicated that the data submitted for this measure were based on a sample of cases
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,CALHOUN,2562358900,Immunization for pneumonia,98,414,The hospital indicated that the data submitted for this measure were based on a sample of cases
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,2562651000,Immunization for influenza,96,301,The hospital indicated that the data submitted for this measure were based on a sample of cases
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,2562651000,Immunization for pneumonia,93,448,The hospital indicated that the data submitted for this measure were based on a sample of cases
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,2564944000,Immunization for influenza,98,285,The hospital indicated that the data submitted for this measure were based on a sample of cases
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,2564944000,Immunization for pneumonia,99,546,The hospital indicated that the data submitted for this measure were based on a sample of cases
10043,CHILTON MEDICAL CENTER,1010 LAY DAM ROAD,CLANTON,AL,35045,CHILTON,2057552500,Immunization for influenza,90,155,The hospital indicated that the data submitted for this measure were based on a sample of cases
10043,CHILTON MEDICAL CENTER,1010 LAY DAM ROAD,CLANTON,AL,35045,CHILTON,2057552500,Immunization for pneumonia,89,260,The hospital indicated that the data submitted for this measure were based on a sample of cases
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,MARION,2059216200,Immunization for influenza,93,164,The hospital indicated that the data submitted for this measure were based on a sample of cases
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,MARION,2059216200,Immunization for pneumonia,96,365,The hospital indicated that the data submitted for this measure were based on a sample of cases
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,2059325966,Immunization for influenza,97,152,The hospital indicated that the data submitted for this measure were based on a sample of cases
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,2059325966,Immunization for pneumonia,95,364,The hospital indicated that the data submitted for this measure were based on a sample of cases
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,2565435200,Immunization for influenza,99,290,The hospital indicated that the data submitted for this measure were based on a sample of cases
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,2565435200,Immunization for pneumonia,100,654,The hospital indicated that the data submitted for this measure were based on a sample of cases
10047,GEORGIANA HOSPITAL,515 MIRANDA ST,GEORGIANA,AL,36033,BUTLER,3343762205,Immunization for influenza,95,166,No data are available from the hospital for this measure
10047,GEORGIANA HOSPITAL,515 MIRANDA ST,GEORGIANA,AL,36033,BUTLER,3343762205,Immunization for pneumonia,98,255,Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,3343470584,Immunization for influenza,97,260,The hospital indicated that the data submitted for this measure were based on a sample of cases
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,3343470584,Immunization for pneumonia,99,393,The hospital indicated that the data submitted for this measure were based on a sample of cases
10050,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,ONEONTA,AL,35121,BLOUNT,2052743000,Immunization for influenza,93,148,The hospital indicated that the data submitted for this measure were based on a sample of cases
10050,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,ONEONTA,AL,35121,BLOUNT,2052743000,Immunization for pneumonia,94,351,The hospital indicated that the data submitted for this measure were based on a sample of cases
10051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,AL,35462,GREENE,2053723388,Immunization for influenza,5,116,The hospital indicated that the data submitted for this measure were based on a sample of cases
10051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,AL,35462,GREENE,2053723388,Immunization for pneumonia,4,244,The hospital indicated that the data submitted for this measure were based on a sample of cases
10052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,36853,TALLAPOOSA,2568257821,Immunization for influenza,40,149,The hospital indicated that the data submitted for this measure were based on a sample of cases
10052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,36853,TALLAPOOSA,2568257821,Immunization for pneumonia,36,306,The hospital indicated that the data submitted for this measure were based on a sample of cases
10054,PARKWAY MEDICAL CENTER,1874 BELTLINE RD SW,DECATUR,AL,35601,MORGAN,2563502211,Immunization for influenza,98,168,The hospital indicated that the data submitted for this measure were based on a sample of cases
10054,PARKWAY MEDICAL CENTER,1874 BELTLINE RD SW,DECATUR,AL,35601,MORGAN,2563502211,Immunization for pneumonia,94,321,The hospital indicated that the data submitted for this measure were based on a sample of cases
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,HOUSTON,3347935000,Immunization for influenza,100,315,The hospital indicated that the data submitted for this measure were based on a sample of cases
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,HOUSTON,3347935000,Immunization for pneumonia,99,557,The hospital indicated that the data submitted for this measure were based on a sample of cases
10056,ST VINCENT-S BIRMINGHAM,810 ST VINCENT-S DRIVE,BIRMINGHAM,AL,35205,JEFFERSON,2059397000,Immunization for influenza,79,255,The hospital indicated that the data submitted for this measure were based on a sample of cases
10056,ST VINCENT-S BIRMINGHAM,810 ST VINCENT-S DRIVE,BIRMINGHAM,AL,35205,JEFFERSON,2059397000,Immunization for pneumonia,89,444,The hospital indicated that the data submitted for this measure were based on a sample of cases
10058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,BIBB,2059264881,Immunization for influenza,82,22,The number of cases is too small to reliably tell how well a hospital is performing
10058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,BIBB,2059264881,Immunization for pneumonia,92,72,Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure
10059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,35650,LAWRENCE,2569742200,Immunization for influenza,93,154,The hospital indicated that the data submitted for this measure were based on a sample of cases
10059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,35650,LAWRENCE,2569742200,Immunization for pneumonia,96,336,The hospital indicated that the data submitted for this measure were based on a sample of cases
10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,JACKSON,2562594444,Immunization for influenza,98,199,The hospital indicated that the data submitted for this measure were based on a sample of cases
10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,JACKSON,2562594444,Immunization for pneumonia,96,387,The hospital indicated that the data submitted for this measure were based on a sample of cases
10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,GENEVA,3346843655,Immunization for influenza,72,169,The hospital indicated that the data submitted for this measure were based on a sample of cases
10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,GENEVA,3346843655,Immunization for pneumonia,66,347,The hospital indicated that the data submitted for this measure were based on a sample of cases
10065,RUSSELL HOSPITAL,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,2563297100,Immunization for influenza,77,182,The hospital indicated that the data submitted for this measure were based on a sample of cases
10065,RUSSELL HOSPITAL,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,2563297100,Immunization for pneumonia,91,291,The hospital indicated that the data submitted for this measure were based on a sample of cases
10066,FLORALA MEMORIAL HOSPITAL,24273 FIFTH AVENUE,FLORALA,AL,36442,COVINGTON,3348583287,Immunization for influenza,48,48,The hospital indicated that the data submitted for this measure were based on a sample of cases
10066,FLORALA MEMORIAL HOSPITAL,24273 FIFTH AVENUE,FLORALA,AL,36442,COVINGTON,3348583287,Immunization for pneumonia,54,87,The hospital indicated that the data submitted for this measure were based on a sample of cases
10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,BARBOUR,3346887271,Immunization for influenza,93,168,The hospital indicated that the data submitted for this measure were based on a sample of cases
10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,BARBOUR,3346887271,Immunization for pneumonia,94,413,The hospital indicated that the data submitted for this measure were based on a sample of cases
10073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,CLAY,2563542131,Immunization for influenza,93,151,The hospital indicated that the data submitted for this measure were based on a sample of cases
10073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,CLAY,2563542131,Immunization for pneumonia,94,193,The hospital indicated that the data submitted for this measure were based on a sample of cases
10078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,CALHOUN,2562355121,Immunization for influenza,96,277,The hospital indicated that the data submitted for this measure were based on a sample of cases
10078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,CALHOUN,2562355121,Immunization for pneumonia,95,491,The hospital indicated that the data submitted for this measure were based on a sample of cases
10079,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,LIMESTONE,2562339292,Immunization for influenza,90,219,The hospital indicated that the data submitted for this measure were based on a sample of cases
10079,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,LIMESTONE,2562339292,Immunization for pneumonia,98,348,The hospital indicated that the data submitted for this measure were based on a sample of cases
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,BALDWIN,2519493400,Immunization for influenza,100,287,The hospital indicated that the data submitted for this measure were based on a sample of cases
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,BALDWIN,2519493400,Immunization for pneumonia,100,553,The hospital indicated that the data submitted for this measure were based on a sample of cases
10085,DECATUR GENERAL HOSPITAL,1201 7TH STREET SE,DECATUR,AL,35609,MORGAN,2563412000,Immunization for influenza,68,283,The hospital indicated that the data submitted for this measure were based on a sample of cases
10085,DECATUR GENERAL HOSPITAL,1201 7TH STREET SE,DECATUR,AL,35609,MORGAN,2563412000,Immunization for pneumonia,86,490,The hospital indicated that the data submitted for this measure were based on a sample of cases
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,MARION,2054877736,Immunization for influenza,95,149,The hospital indicated that the data submitted for this measure were based on a sample of cases
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,MARION,2054877736,Immunization for pneumonia,97,352,The hospital indicated that the data submitted for this measure were based on a sample of cases
10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE,AL,36617,MOBILE,2514717110,Immunization for influenza,87,294,The hospital indicated that the data submitted for this measure were based on a sample of cases
10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE,AL,36617,MOBILE,2514717110,Immunization for pneumonia,80,342,The hospital indicated that the data submitted for this measure were based on a sample of cases
10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,WALKER,2053874000,Immunization for influenza,100,275,The hospital indicated that the data submitted for this measure were based on a sample of cases
10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,WALKER,2053874000,Immunization for pneumonia,100,564,The hospital indicated that the data submitted for this measure were based on a sample of cases
10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,MOBILE,2516331000,Immunization for influenza,97,278,The hospital indicated that the data submitted for this measure were based on a sample of cases
10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,MOBILE,2516331000,Immunization for pneumonia,97,493,The hospital indicated that the data submitted for this measure were based on a sample of cases
10091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,AL,36451,CLARKE,2512753191,Immunization for influenza,70,159,The hospital indicated that the data submitted for this measure were based on a sample of cases
10091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,AL,36451,CLARKE,2512753191,Immunization for pneumonia,88,276,The hospital indicated that the data submitted for this measure were based on a sample of cases
10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,TUSCALOOSA,2057597111,Immunization for influenza,56,294,The hospital indicated that the data submitted for this measure were based on a sample of cases
10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,TUSCALOOSA,2057597111,Immunization for pneumonia,80,473,The hospital indicated that the data submitted for this measure were based on a sample of cases
10095,HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO,AL,36744,HALE,3346243024,Immunization for influenza,46,78,The hospital indicated that the data submitted for this measure were based on a sample of cases
10095,HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO,AL,36744,HALE,3346243024,Immunization for pneumonia,32,139,The hospital indicated that the data submitted for this measure were based on a sample of cases
10097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,ELMORE,3345674311,Immunization for influenza,48,147,The hospital indicated that the data submitted for this measure were based on a sample of cases
10097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,ELMORE,3345674311,Immunization for pneumonia,77,339,The hospital indicated that the data submitted for this measure were based on a sample of cases
10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,ESCAMBIA,2518678061,Immunization for influenza,91,168,The hospital indicated that the data submitted for this measure were based on a sample of cases
10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,ESCAMBIA,2518678061,Immunization for pneumonia,90,277,The hospital indicated that the data submitted for this measure were based on a sample of cases
10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,BALDWIN,2519282375,Immunization for influenza,100,296,The hospital indicated that the data submitted for this measure were based on a sample of cases
10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,BALDWIN,2519282375,Immunization for pneumonia,99,541,The hospital indicated that the data submitted for this measure were based on a sample of cases
10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,TALLADEGA,2567614542,Immunization for influenza,77,175,The hospital indicated that the data submitted for this measure were based on a sample of cases
10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,TALLADEGA,2567614542,Immunization for pneumonia,86,273,The hospital indicated that the data submitted for this measure were based on a sample of cases
10102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,WILCOX,3346824131,Immunization for influenza,0,54,No data are available from the hospital for this measure
10102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,WILCOX,3346824131,Immunization for pneumonia,3,99,Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure
10103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,JEFFERSON,2057833800,Immunization for influenza,96,313,The hospital indicated that the data submitted for this measure were based on a sample of cases
10103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,JEFFERSON,2057833800,Immunization for pneumonia,92,731,The hospital indicated that the data submitted for this measure were based on a sample of cases
10104,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,BIRMINGHAM,AL,35213,JEFFERSON,2055921000,Immunization for influenza,99,288,The hospital indicated that the data submitted for this measure were based on a sample of cases
10104,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,BIRMINGHAM,AL,35213,JEFFERSON,2055921000,Immunization for pneumonia,99,558,The hospital indicated that the data submitted for this measure were based on a sample of cases
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,3343614267,Immunization for influenza,96,159,The hospital indicated that the data submitted for this measure were based on a sample of cases
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,3343614267,Immunization for pneumonia,88,348,The hospital indicated that the data submitted for this measure were based on a sample of cases
10109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON,CARROLLTON,AL,35447,PICKENS,2053678111,Immunization for influenza,55,147,The hospital indicated that the data submitted for this measure were based on a sample of cases
10109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON,CARROLLTON,AL,35447,PICKENS,2053678111,Immunization for pneumonia,81,359,The hospital indicated that the data submitted for this measure were based on a sample of cases
10110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,BULLOCK,3347382140,Immunization for influenza,19,156,The hospital indicated that the data submitted for this measure were based on a sample of cases
10110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,BULLOCK,3347382140,Immunization for pneumonia,41,166,The hospital indicated that the data submitted for this measure were based on a sample of cases
10112,BRYAN W WHITFIELD MEM HOSP INC,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,MARENGO,3342894000,Immunization for influenza,44,179,The hospital indicated that the data submitted for this measure were based on a sample of cases
