sex,length,diameter,height,wholeWeight
M,0.64,0.51,0.175,1.368
F,0.56,0.45,0.16,10.235
F,0.62,0.475,0.175,10.165
F,0.645,0.51,0.2,15.675
M,0.62,0.49,0.19,1.218
F,0.63,0.48,0.15,10.525
F,0.63,0.5,0.185,1.383
F,0.63,0.48,0.16,1.199
F,0.585,0.46,0.17,0.9325
M,0.615,0.48,0.18,11.595
M,0.61,0.485,0.17,10.225
M,0.58,0.45,0.15,0.927
I,0.355,0.275,0.085,0.22
F,0.51,0.4,0.14,0.8145
M,0.5,0.405,0.155,0.772
F,0.505,0.41,0.15,0.644
M,0.64,0.5,0.185,13.035
M,0.56,0.45,0.16,0.922
M,0.585,0.46,0.185,0.922
F,0.45,0.345,0.12,0.4165
M,0.5,0.4,0.165,0.825
F,0.5,0.4,0.145,0.63
F,0.53,0.435,0.17,0.8155
M,0.42,0.335,0.115,0.369
F,0.44,0.34,0.14,0.482
I,0.4,0.3,0.11,0.315
I,0.435,0.34,0.11,0.3795
F,0.525,0.415,0.17,0.8325
I,0.37,0.28,0.095,0.2655
F,0.49,0.365,0.145,0.6345
M,0.335,0.25,0.09,0.181
F,0.415,0.325,0.105,0.38
M,0.5,0.405,0.14,0.6155
F,0.485,0.395,0.16,0.66
M,0.55,0.405,0.14,0.8025
M,0.45,0.35,0.13,0.46
I,0.405,0.3,0.12,0.324
M,0.47,0.36,0.135,0.501
F,0.415,0.305,0.13,0.32
F,0.445,0.325,0.125,0.455
F,0.47,0.35,0.145,0.5175
F,0.49,0.375,0.15,0.5755
F,0.445,0.355,0.15,0.485
I,0.425,0.38,0.105,0.3265
F,0.5,0.37,0.135,0.45
F,0.39,0.29,0.125,0.3055
I,0.365,0.27,0.085,0.205
F,0.58,0.465,0.165,11.015
F,0.53,0.415,0.16,0.783
M,0.555,0.445,0.135,0.836
M,0.565,0.44,0.175,0.9025
M,0.625,0.505,0.215,14.455
I,0.275,0.215,0.075,0.1155
I,0.44,0.35,0.135,0.435
I,0.295,0.225,0.08,0.124
I,0.075,0.055,0.01,0.002
I,0.13,0.1,0.03,0.013
I,0.11,0.09,0.03,0.008
I,0.16,0.12,0.035,0.021
M,0.565,0.425,0.16,0.9425
I,0.27,0.2,0.07,0.1
I,0.23,0.175,0.065,0.0645
I,0.3,0.23,0.08,0.1275
I,0.33,0.255,0.085,0.1655
I,0.35,0.26,0.085,0.174
I,0.32,0.245,0.08,0.1585
I,0.36,0.275,0.085,0.1975
I,0.305,0.245,0.075,0.156
I,0.345,0.27,0.11,0.2135
I,0.33,0.25,0.105,0.1715
M,0.59,0.47,0.18,11.235
F,0.595,0.455,0.155,10.605
F,0.575,0.46,0.185,1.094
M,0.6,0.495,0.165,12.415
M,0.56,0.45,0.175,1.011
M,0.56,0.45,0.185,1.07
M,0.545,0.46,0.16,0.8975
F,0.635,0.505,0.17,1.415
F,0.59,0.475,0.16,11.015
F,0.54,0.475,0.155,0.928
F,0.57,0.44,0.125,0.865
M,0.53,0.42,0.165,0.8945
I,0.245,0.195,0.06,0.095
M,0.27,0.2,0.08,0.1205
F,0.46,0.38,0.13,0.639
M,0.52,0.45,0.15,0.895
M,0.35,0.275,0.11,0.2925
M,0.47,0.39,0.15,0.6355
F,0.45,0.36,0.125,0.4995
F,0.64,0.525,0.215,1.779
M,0.59,0.5,0.2,1.187
M,0.62,0.485,0.205,1.219
M,0.63,0.505,0.225,1.525
M,0.63,0.515,0.155,1.259
M,0.655,0.54,0.215,1.844
F,0.66,0.53,0.185,13.485
M,0.61,0.5,0.24,1.642
M,0.635,0.525,0.205,1.484
F,0.515,0.425,0.135,0.712
F,0.535,0.415,0.185,0.8415
I,0.36,0.285,0.105,0.2415
F,0.455,0.355,0.12,0.4495
M,0.485,0.395,0.14,0.6295
M,0.515,0.38,0.175,0.9565
F,0.535,0.415,0.17,0.879
M,0.53,0.435,0.155,0.699
F,0.495,0.4,0.155,0.6445
M,0.44,0.355,0.125,0.4775
F,0.535,0.435,0.16,0.8105
M,0.54,0.435,0.18,0.996
F,0.565,0.505,0.21,12.765
M,0.61,0.475,0.165,1.116
F,0.565,0.455,0.175,1.013
M,0.6,0.495,0.195,10.575
I,0.295,0.215,0.085,0.128
I,0.275,0.205,0.075,0.1105
I,0.28,0.21,0.085,0.1065
M,0.49,0.395,0.14,0.549
M,0.37,0.28,0.105,0.234
F,0.405,0.305,0.095,0.3485
F,0.54,0.435,0.175,0.892
M,0.37,0.28,0.1,0.252
M,0.36,0.27,0.1,0.217
F,0.47,0.36,0.13,0.472
I,0.2,0.145,0.06,0.037
I,0.165,0.12,0.03,0.0215
M,0.645,0.515,0.24,15.415
M,0.55,0.41,0.125,0.7605
M,0.57,0.435,0.145,0.9055
F,0.63,0.485,0.19,12.435
M,0.56,0.44,0.14,0.971
M,0.595,0.455,0.195,13.305
F,0.62,0.47,0.2,12.255
M,0.63,0.485,0.175,1.3
I,0.45,0.355,0.11,0.4585
F,0.635,0.535,0.19,1.242
M,0.45,0.35,0.1,0.3675
F,0.58,0.455,0.155,0.8365
I,0.33,0.255,0.095,0.172
I,0.265,0.21,0.06,0.0965
I,0.19,0.145,0.04,0.038
M,0.385,0.31,0.1,0.2845
I,0.265,0.205,0.07,0.1055
M,0.335,0.265,0.105,0.222
I,0.355,0.275,0.09,0.251
I,0.32,0.255,0.1,0.1755
M,0.51,0.4,0.13,0.6435
M,0.36,0.295,0.105,0.241
I,0.36,0.28,0.09,0.2255
M,0.5,0.38,0.155,0.5955
F,0.4,0.325,0.12,0.3185
I,0.3,0.22,0.08,0.121
I,0.235,0.175,0.04,0.0705
F,0.74,0.6,0.195,1.974
M,0.62,0.465,0.19,13.415
M,0.6,0.475,0.19,10.875
M,0.59,0.45,0.185,1.283
M,0.62,0.475,0.185,1.325
F,0.565,0.45,0.195,10.035
M,0.575,0.455,0.145,1.165
F,0.62,0.51,0.205,13.475
M,0.62,0.465,0.185,1.274
F,0.505,0.375,0.18,0.568
F,0.46,0.425,0.155,0.746
M,0.49,0.39,0.14,0.707
F,0.525,0.42,0.16,0.756
I,0.34,0.26,0.08,0.2
I,0.375,0.305,0.115,0.2715
M,0.61,0.48,0.15,1.2
F,0.61,0.495,0.185,1.153
F,0.585,0.45,0.17,0.8685
M,0.57,0.46,0.14,0.9535
M,0.58,0.455,0.17,0.93
M,0.635,0.515,0.17,1.275
M,0.7,0.58,0.205,2.13
M,0.675,0.525,0.185,1.587
F,0.645,0.525,0.19,18.085
M,0.745,0.585,0.215,2.499
F,0.685,0.545,0.18,1.768
M,0.605,0.49,0.18,1.227
F,0.59,0.465,0.15,0.997
F,0.65,0.525,0.175,14.225
F,0.6,0.48,0.15,1.029
F,0.62,0.5,0.175,1.186
M,0.63,0.515,0.16,1.016
M,0.58,0.465,0.145,0.887
F,0.58,0.455,0.12,10.735
M,0.63,0.49,0.18,1.13
F,0.69,0.56,0.215,1.719
F,0.65,0.545,0.165,1.566
F,0.66,0.565,0.195,17.605
F,0.68,0.58,0.2,1.787
F,0.7,0.575,0.17,1.31
M,0.685,0.52,0.15,1.343
F,0.675,0.545,0.195,17.345
M,0.63,0.49,0.19,11.775
F,0.585,0.45,0.16,1.077
M,0.565,0.465,0.175,0.995
F,0.61,0.495,0.185,11.085
M,0.605,0.47,0.18,11.405
M,0.535,0.42,0.145,0.791
M,0.485,0.4,0.135,0.663
M,0.47,0.375,0.12,0.5565
M,0.545,0.425,0.135,0.8445
F,0.455,0.37,0.105,0.4925
M,0.54,0.42,0.155,0.7385
M,0.46,0.38,0.135,0.482
M,0.49,0.42,0.125,0.609
I,0.465,0.375,0.12,0.471
I,0.415,0.325,0.1,0.3215
M,0.475,0.375,0.125,0.593
F,0.47,0.375,0.125,0.5615
I,0.365,0.295,0.095,0.25
I,0.345,0.275,0.095,0.1995
I,0.39,0.31,0.1,0.302
F,0.5,0.395,0.14,0.7155
M,0.47,0.38,0.145,0.5865
M,0.535,0.44,0.15,0.6765
M,0.585,0.455,0.15,0.987
F,0.485,0.365,0.12,0.5885
M,0.515,0.455,0.135,0.7225
F,0.435,0.325,0.11,0.4335
F,0.515,0.415,0.14,0.6935
I,0.44,0.345,0.12,0.365
F,0.525,0.44,0.15,0.8425
M,0.45,0.355,0.115,0.479
M,0.59,0.485,0.12,0.911
M,0.555,0.45,0.145,0.915
M,0.57,0.44,0.095,0.827
M,0.59,0.5,0.165,11.045
M,0.585,0.475,0.12,0.945
F,0.58,0.46,0.12,0.9935
M,0.545,0.44,0.12,0.8565
F,0.605,0.495,0.17,12.385
F,0.62,0.47,0.14,10.325
F,0.63,0.5,0.17,13.135
M,0.63,0.515,0.165,1.352
F,0.63,0.5,0.155,1.005
M,0.545,0.41,0.14,0.625
F,0.67,0.54,0.165,15.015
I,0.49,0.38,0.12,0.529
F,0.49,0.39,0.135,0.5785
I,0.29,0.225,0.07,0.101
I,0.26,0.2,0.07,0.092
M,0.58,0.45,0.175,1.068
F,0.61,0.485,0.165,10.915
M,0.6,0.5,0.16,1.015
F,0.56,0.455,0.125,0.943
F,0.575,0.45,0.17,10.475
F,0.57,0.45,0.175,0.9555
M,0.6,0.47,0.155,1.036
M,0.565,0.455,0.17,0.9065
M,0.545,0.42,0.14,0.7505
I,0.44,0.345,0.1,0.366
M,0.5,0.41,0.15,0.662
I,0.36,0.275,0.095,0.217
I,0.385,0.305,0.095,0.252
M,0.39,0.3,0.09,0.3055
M,0.5,0.415,0.165,0.6885
I,0.36,0.275,0.11,0.2335
I,0.335,0.26,0.1,0.192
F,0.505,0.425,0.14,0.85
I,0.395,0.295,0.1,0.2715
F,0.41,0.325,0.105,0.3635
F,0.56,0.455,0.19,0.714
M,0.565,0.435,0.185,0.9815
M,0.565,0.455,0.185,0.9265
M,0.605,0.5,0.175,1.098
F,0.565,0.455,0.15,0.8205
M,0.725,0.565,0.215,1.891
F,0.675,0.535,0.16,1.41
F,0.665,0.555,0.195,14.385
F,0.565,0.49,0.155,0.9245
F,0.645,0.55,0.175,12.915
M,0.575,0.47,0.14,0.8375
F,0.64,0.54,0.175,1.221
I,0.36,0.28,0.105,0.199
I,0.415,0.31,0.11,0.2965
F,0.525,0.41,0.135,0.7085
M,0.38,0.285,0.1,0.2665
F,0.585,0.465,0.17,0.9915
I,0.24,0.185,0.07,0.0715
I,0.22,0.165,0.055,0.0545
I,0.255,0.195,0.07,0.0735
I,0.175,0.125,0.05,0.0235
F,0.67,0.55,0.19,13.905
M,0.655,0.53,0.195,1.388
F,0.68,0.55,0.21,17.445
M,0.675,0.555,0.2,14.385
F,0.53,0.44,0.135,0.7835
F,0.515,0.405,0.12,0.646
I,0.43,0.34,0.12,0.3575
F,0.52,0.405,0.12,0.627
F,0.545,0.415,0.16,0.7715
M,0.53,0.415,0.175,0.7395
F,0.465,0.35,0.115,0.421
M,0.665,0.54,0.175,1.347
M,0.735,0.59,0.225,1.756
M,0.66,0.545,0.185,1.32
F,0.7,0.585,0.185,18.075
M,0.575,0.4,0.155,0.9325
M,0.57,0.465,0.125,0.849
F,0.58,0.46,0.15,0.9955
M,0.63,0.48,0.145,10.115
F,0.585,0.465,0.14,0.908
M,0.55,0.45,0.13,0.92
F,0.625,0.515,0.15,12.415
M,0.54,0.42,0.135,0.8075
F,0.57,0.455,0.165,10.595
M,0.59,0.455,0.145,1.073
M,0.58,0.46,0.13,0.921
F,0.655,0.51,0.155,12.895
M,0.655,0.53,0.175,12.635
M,0.625,0.5,0.195,1.369
F,0.625,0.5,0.15,0.953
F,0.64,0.52,0.175,1.248
F,0.605,0.485,0.165,10.105
F,0.615,0.525,0.155,10.385
M,0.555,0.45,0.175,0.874
F,0.58,0.44,0.18,0.854
F,0.62,0.52,0.225,11.835
F,0.62,0.47,0.225,1.115
F,0.6,0.505,0.19,1.129
F,0.625,0.485,0.19,11.745
M,0.6,0.47,0.175,1.105
M,0.56,0.46,0.235,0.8395
M,0.585,0.455,0.225,1.055
M,0.56,0.435,0.18,0.889
I,0.56,0.445,0.155,0.8735
I,0.68,0.53,0.185,11.095
F,0.455,0.35,0.14,0.5185
F,0.49,0.38,0.145,0.6725
M,0.31,0.22,0.085,0.146
F,0.275,0.195,0.07,0.08
M,0.27,0.195,0.08,0.1
M,0.4,0.29,0.115,0.2795
M,0.28,0.2,0.08,0.0915
M,0.325,0.23,0.09,0.147
F,0.345,0.25,0.09,0.203
M,0.21,0.15,0.05,0.0385
F,0.36,0.27,0.09,0.1885
I,0.365,0.26,0.115,0.218
M,0.2,0.14,0.055,0.035
M,0.235,0.16,0.06,0.0545
M,0.175,0.125,0.04,0.024
M,0.155,0.11,0.04,0.0155
F,0.57,0.445,0.155,0.733
F,0.57,0.45,0.16,0.9715
M,0.385,0.3,0.095,0.24
I,0.53,0.42,0.185,0.752
F,0.46,0.355,0.13,0.458
I,0.47,0.37,0.12,0.4705
F,0.435,0.335,0.11,0.38
I,0.47,0.37,0.14,0.4985
I,0.465,0.38,0.13,0.454
I,0.52,0.405,0.14,0.5775
M,0.29,0.23,0.075,0.1165
M,0.275,0.205,0.07,0.094
F,0.375,0.29,0.115,0.2705
F,0.5,0.375,0.14,0.604
F,0.44,0.355,0.115,0.415
M,0.42,0.325,0.115,0.2885
M,0.445,0.35,0.115,0.3615
F,0.38,0.29,0.105,0.257
M,0.32,0.245,0.075,0.1555
M,0.255,0.195,0.065,0.08
M,0.205,0.155,0.045,0.0425
F,0.565,0.45,0.16,0.795
I,0.555,0.425,0.18,0.875
I,0.65,0.515,0.16,11.625
I,0.615,0.49,0.155,0.9885
I,0.56,0.44,0.165,0.8
I,0.48,0.37,0.12,0.514
I,0.485,0.39,0.125,0.591
I,0.5,0.385,0.15,0.6265
I,0.525,0.405,0.15,0.795
F,0.66,0.5,0.165,11.905
F,0.66,0.53,0.17,1.326
I,0.52,0.4,0.145,0.66
F,0.44,0.34,0.105,0.364
I,0.515,0.4,0.12,0.659
F,0.475,0.35,0.115,0.452
F,0.545,0.415,0.15,0.7335
F,0.47,0.355,0.13,0.5465
M,0.35,0.255,0.065,0.179
I,0.485,0.355,0.13,0.581
I,0.435,0.33,0.125,0.406
M,0.28,0.21,0.08,0.1085
F,0.41,0.32,0.115,0.387
I,0.45,0.35,0.14,0.474
I,0.45,0.345,0.135,0.443
F,0.59,0.455,0.155,1.066
F,0.57,0.44,0.14,0.9535
I,0.61,0.475,0.15,0.9665
F,0.61,0.475,0.14,1.133
I,0.56,0.425,0.14,0.9175
F,0.585,0.435,0.175,0.982
I,0.58,0.445,0.15,0.8865
F,0.63,0.48,0.175,13.675
F,0.625,0.49,0.175,1.233
I,0.55,0.425,0.15,0.806
F,0.645,0.525,0.19,14.635
I,0.46,0.355,0.14,0.4935
F,0.41,0.305,0.1,0.363
I,0.495,0.39,0.125,0.6655
I,0.52,0.425,0.17,0.6805
F,0.55,0.41,0.145,0.8285
M,0.45,0.335,0.14,0.4625
F,0.405,0.31,0.12,0.3095
I,0.51,0.4,0.15,0.745
F,0.37,0.29,0.115,0.25
I,0.525,0.41,0.175,0.874
F,0.66,0.52,0.18,1.514
M,0.535,0.42,0.15,0.6995
I,0.575,0.455,0.18,0.8525
F,0.55,0.43,0.14,0.7135
I,0.605,0.47,0.14,0.939
I,0.605,0.495,0.145,1.054
F,0.56,0.445,0.195,0.981
I,0.535,0.42,0.145,0.926
F,0.385,0.315,0.11,0.286
F,0.39,0.3,0.1,0.265
I,0.47,0.345,0.115,0.4885
I,0.515,0.39,0.14,0.5555
I,0.425,0.345,0.125,0.425
M,0.345,0.27,0.09,0.195
I,0.485,0.37,0.13,0.458
M,0.37,0.285,0.1,0.228
M,0.35,0.265,0.09,0.1775
F,0.44,0.345,0.17,0.4085
M,0.195,0.145,0.05,0.032
M,0.325,0.24,0.075,0.155
I,0.495,0.37,0.125,0.4775
I,0.45,0.35,0.145,0.525
M,0.415,0.345,0.135,0.3865
F,0.47,0.355,0.14,0.433
M,0.32,0.24,0.085,0.17
M,0.31,0.225,0.075,0.1295
M,0.235,0.17,0.055,0.0515
M,0.345,0.255,0.08,0.169
I,0.485,0.38,0.14,0.673
F,0.5,0.385,0.115,0.6785
F,0.5,0.385,0.105,0.498
I,0.465,0.36,0.105,0.498
F,0.525,0.405,0.16,0.658
F,0.425,0.335,0.095,0.322
F,0.38,0.305,0.095,0.2815
I,0.53,0.415,0.145,0.944
M,0.34,0.265,0.085,0.1835
I,0.475,0.365,0.115,0.49
F,0.43,0.34,0.12,0.391
M,0.46,0.365,0.125,0.467
I,0.47,0.36,0.13,0.5225
M,0.36,0.295,0.1,0.2105
M,0.355,0.265,0.09,0.168
M,0.38,0.235,0.1,0.258
M,0.355,0.26,0.085,0.1905
I,0.44,0.345,0.12,0.487
F,0.51,0.4,0.13,0.5735
M,0.325,0.24,0.085,0.173
I,0.62,0.485,0.18,11.785
F,0.59,0.45,0.16,0.9
M,0.33,0.255,0.095,0.1875
M,0.45,0.34,0.13,0.3715
I,0.445,0.33,0.12,0.347
M,0.33,0.215,0.075,0.1145
M,0.48,0.375,0.145,0.777
I,0.46,0.35,0.12,0.4885
F,0.475,0.36,0.125,0.447
M,0.255,0.18,0.065,0.079
I,0.335,0.245,0.09,0.1665
I,0.47,0.35,0.13,0.466
M,0.31,0.225,0.08,0.1345
F,0.37,0.28,0.11,0.2305
M,0.295,0.215,0.075,0.129
F,0.555,0.435,0.165,0.97
F,0.615,0.515,0.17,1.14
I,0.58,0.49,0.195,13.165
F,0.585,0.475,0.185,0.9585
I,0.65,0.525,0.18,1.626
I,0.535,0.45,0.17,0.781
F,0.415,0.34,0.13,0.3675
F,0.38,0.305,0.105,0.281
I,0.45,0.355,0.12,0.412
F,0.395,0.295,0.095,0.2245
M,0.455,0.35,0.12,0.4835
F,0.485,0.38,0.15,0.605
M,0.55,0.425,0.155,0.9175
F,0.45,0.35,0.145,0.5425
M,0.475,0.385,0.145,0.6175
F,0.5,0.38,0.155,0.655
F,0.53,0.41,0.165,0.8115
M,0.49,0.39,0.15,0.573
F,0.49,0.385,0.15,0.7865
F,0.52,0.395,0.18,0.64
M,0.54,0.415,0.145,0.74
F,0.5,0.375,0.115,0.5945
F,0.45,0.38,0.165,0.8165
F,0.37,0.275,0.1,0.2225
I,0.37,0.275,0.1,0.2295
M,0.485,0.37,0.14,0.5725
F,0.435,0.325,0.115,0.3915
M,0.535,0.405,0.185,0.8345
M,0.51,0.4,0.14,0.6515
M,0.565,0.44,0.185,0.909
F,0.535,0.4,0.15,0.8045
F,0.535,0.405,0.125,0.927
M,0.525,0.4,0.17,0.7305
M,0.59,0.44,0.15,0.9555
M,0.5,0.375,0.15,0.636
I,0.255,0.19,0.075,0.0865
F,0.43,0.325,0.115,0.3865
M,0.38,0.29,0.12,0.283
I,0.165,0.11,0.02,0.019
I,0.315,0.23,0.09,0.1285
I,0.155,0.105,0.05,0.0175
M,0.28,0.205,0.1,0.1165
F,0.43,0.335,0.12,0.444
F,0.395,0.315,0.105,0.3515
M,0.385,0.285,0.105,0.2905
F,0.48,0.385,0.135,0.536
F,0.445,0.33,0.105,0.4525
M,0.395,0.295,0.115,0.316
M,0.4,0.3,0.125,0.417
M,0.415,0.325,0.14,0.417
M,0.315,0.25,0.09,0.203
F,0.345,0.26,0.09,0.207
M,0.36,0.295,0.13,0.2765
I,0.295,0.225,0.09,0.1105
I,0.325,0.25,0.08,0.176
M,0.375,0.3,0.1,0.2465
I,0.28,0.205,0.055,0.1135
M,0.355,0.265,0.085,0.201
M,0.35,0.255,0.08,0.1915
I,0.275,0.2,0.065,0.1035
I,0.29,0.205,0.07,0.0975
I,0.25,0.19,0.06,0.0765
I,0.18,0.125,0.035,0.0265
I,0.15,0.1,0.025,0.015
I,0.16,0.11,0.025,0.018
M,0.555,0.455,0.16,10.575
M,0.555,0.44,0.15,1.092
M,0.525,0.41,0.13,0.99
M,0.465,0.36,0.08,0.488
F,0.49,0.36,0.11,0.5005
M,0.4,0.305,0.085,0.297
F,0.48,0.375,0.105,0.525
M,0.505,0.4,0.125,0.77
F,0.52,0.4,0.12,0.6515
M,0.525,0.4,0.13,0.8295
M,0.545,0.42,0.13,0.879
M,0.52,0.4,0.12,0.823
M,0.505,0.38,0.13,0.656
M,0.525,0.425,0.12,0.8665
M,0.51,0.39,0.125,0.6565
M,0.52,0.385,0.115,0.669
F,0.52,0.405,0.125,0.6435
M,0.535,0.41,0.135,0.862
M,0.445,0.345,0.09,0.3795
M,0.53,0.44,0.205,0.835
F,0.36,0.265,0.09,0.2065
F,0.535,0.42,0.15,0.7365
F,0.52,0.405,0.14,0.8175
M,0.53,0.415,0.13,0.8425
F,0.53,0.42,0.13,1.001
F,0.66,0.52,0.2,1.676
M,0.52,0.385,0.14,0.6595
M,0.535,0.42,0.13,0.8055
M,0.695,0.515,0.175,15.165
F,0.51,0.39,0.105,0.612
M,0.485,0.355,0.12,0.547
F,0.605,0.46,0.17,1.122
F,0.58,0.455,0.165,11.365
M,0.65,0.515,0.175,14.805
M,0.62,0.505,0.185,15.275
M,0.615,0.525,0.155,11.375
F,0.605,0.495,0.19,1.437
M,0.57,0.44,0.155,1.116
