COL2(Integer),COL4(String),COL5(Integer),COL6(String)
883,H,6289,HA2
419,H,3978,HA2
883,H,6289,HA2
419,H,3978,HA2
883,H,6289,HA2
419,H,3978,HA2
883,H,6289,HA2
419,H,3978,2H
419,H,3978,2H
419,H,3978,2H
419,H,3978,2H
419,H,3978,2H
419,H,3978,2H
419,H,3978,2H
419,H,3978,2H
419,H,3978,2H
419,H,3978,2H
419,H,3978,HA3
883,H,6289,HA3
882,H,6284,HA3
419,H,3978,HA3
883,H,6289,HA3
883,H,6289,HA3
883,H,6289,HA3
883,H,6289,HA3
883,H,6289,HA3
883,H,6289,HA3
883,H,6289,HA3
883,H,6289,HA3
883,H,6289,HA3
883,H,6289,HA3
419,H,3978,HA3
883,H,6289,HA3
883,H,6289,HA3
419,H,3978,HA3
883,H,6289,HA3
419,H,3978,HA3
883,H,6289,HA3
419,H,3978,HA3
883,H,6289,HA3
419,H,3978,HA3
883,H,6289,HA3
419,H,3978,HA3
883,H,6289,HA3
419,H,3978,HA3
883,H,6289,HA3
419,H,3978,HA3
883,H,6289,HA3
419,H,3978,3H
419,H,3978,3H
419,H,3978,3H
419,H,3978,3H
419,H,3978,3H
419,H,3978,3H
419,H,3978,3H
419,H,3978,3H
419,H,3978,3H
419,H,3978,3H
419,C,3976,C
883,C,6287,C
882,C,6282,C
454,C,4155,C
529,C,4526,C
419,C,3976,C
883,C,6287,C
883,C,6287,C
883,C,6287,C
883,C,6287,C
883,C,6287,C
883,C,6287,C
883,C,6287,C
883,C,6287,C
883,C,6287,C
883,C,6287,C
419,C,3976,C
883,C,6287,C
883,C,6287,C
419,C,3976,C
883,C,6287,C
419,C,3976,C
883,C,6287,C
419,C,3976,C
883,C,6287,C
419,C,3976,C
883,C,6287,C
419,C,3976,C
883,C,6287,C
419,C,3976,C
883,C,6287,C
419,C,3976,C
883,C,6287,C
529,C,4526,C
419,C,3976,CA
883,C,6287,CA
882,C,6282,CA
454,C,4155,CA
529,C,4526,CA
419,C,3976,CA
883,C,6287,CA
883,C,6287,CA
883,C,6287,CA
883,C,6287,CA
883,C,6287,CA
883,C,6287,CA
883,C,6287,CA
883,C,6287,CA
883,C,6287,CA
883,C,6287,CA
419,C,3976,CA
883,C,6287,CA
883,C,6287,CA
419,C,3976,CA
883,C,6287,CA
419,C,3976,CA
883,C,6287,CA
419,C,3976,CA
883,C,6287,CA
419,C,3976,CA
883,C,6287,CA
419,C,3976,CA
883,C,6287,CA
419,C,3976,CA
883,C,6287,CA
419,C,3976,CA
883,C,6287,CA
529,C,4526,CA
883,H,6289,H
882,H,6284,H
883,H,6289,H
883,H,6289,H
883,H,6289,H
883,H,6289,H
883,H,6289,H
883,H,6289,H
883,H,6289,H
883,H,6289,H
883,H,6289,H
883,H,6289,H
883,H,6289,H
883,H,6289,H
883,H,6289,H
883,H,6289,H
883,H,6289,H
883,H,6289,H
883,H,6289,H
883,H,6289,H
883,H,6289,H
419,N,3975,N
883,N,6286,N
882,N,6281,N
529,N,4525,N
454,N,4154,N
419,N,3975,N
883,N,6286,N
883,N,6286,N
883,N,6286,N
883,N,6286,N
883,N,6286,N
883,N,6286,N
883,N,6286,N
883,N,6286,N
883,N,6286,N
883,N,6286,N
419,N,3975,N
883,N,6286,N
883,N,6286,N
419,N,3975,N
883,N,6286,N
419,N,3975,N
883,N,6286,N
419,N,3975,N
883,N,6286,N
419,N,3975,N
883,N,6286,N
419,N,3975,N
883,N,6286,N
419,N,3975,N
883,N,6286,N
419,N,3975,N
883,N,6286,N
529,N,4525,N
419,O,3977,O
883,O,6288,O
882,O,6283,O
454,O,4156,O
529,O,4527,O
419,O,3977,O
883,O,6288,O
883,O,6288,O
883,O,6288,O
883,O,6288,O
883,O,6288,O
883,O,6288,O
883,O,6288,O
883,O,6288,O
883,O,6288,O
883,O,6288,O
419,O,3977,O
883,O,6288,O
883,O,6288,O
419,O,3977,O
883,O,6288,O
419,O,3977,O
883,O,6288,O
419,O,3977,O
883,O,6288,O
419,O,3977,O
883,O,6288,O
419,O,3977,O
883,O,6288,O
419,O,3977,O
883,O,6288,O
419,O,3977,O
883,O,6288,O
529,O,4527,O
739,H,5577,H2
739,H,5577,H5
739,H,5577,H71
739,H,5577,H2
739,H,5577,H5
739,H,5577,H72
739,H,5577,H73
739,C,5575,C1
739,C,5575,C2
739,C,5575,C2
739,C,5575,C3
739,C,5575,C4
739,C,5575,C4
739,C,5575,C5
739,C,5575,C5
739,C,5575,C7
739,C,5575,C6
739,H,5577,H1
739,H,5577,H3
739,H,5577,H3
739,H,5577,H4
739,H,5577,H6
739,N,5576,N1
739,N,5576,N3
739,O,5574,OP1
739,O,5574,O2
739,O,5574,OP2
739,O,5574,O3
739,O,5574,O4
739,O,5574,O4
739,O,5574,O5
739,P,5578,P
739,H,5577,H2
739,H,5577,H5
739,H,5577,H61
739,H,5577,H2
739,H,5577,H5
739,H,5577,H62
739,C,5575,C1
739,C,5575,C2
739,C,5575,C2
739,C,5575,C3
739,C,5575,C4
739,C,5575,C4
739,C,5575,C5
739,C,5575,C5
739,C,5575,C6
739,C,5575,C8
739,H,5577,H1
739,H,5577,H2
739,H,5577,H3
739,H,5577,H4
739,H,5577,H5T
739,H,5577,H8
739,N,5576,N1
739,N,5576,N3
739,N,5576,N6
739,N,5576,N7
739,N,5576,N9
739,O,5574,O3
739,O,5574,O4
739,O,5574,O5
454,C,4155,C
454,C,4155,CA
454,C,4155,CB
454,C,4155,CD
454,C,4155,CG
454,N,4154,N
454,N,4154,NE2
454,O,4156,O
454,O,4156,OE1
856,H,6156,HB2
883,H,6289,HB2
882,H,6284,HB2
856,H,6156,HB2
883,H,6289,HB2
856,H,6156,HB2
883,H,6289,HB2
856,H,6156,HB2
883,H,6289,HB2
856,H,6156,HB2
883,H,6289,HB2
856,H,6156,HB2
883,H,6289,HB2
856,H,6156,HB2
883,H,6289,HB2
856,H,6156,HB2
883,H,6289,HB2
856,H,6156,HB2
883,H,6289,HB2
856,H,6156,HB2
883,H,6289,HB2
856,H,6156,HB2
883,H,6289,HB2
856,H,6156,HB2
883,H,6289,HB2
856,H,6156,HB2
883,H,6289,HB2
856,H,6156,HB2
883,H,6289,HB2
856,H,6156,HB2
883,H,6289,HB2
856,H,6156,HB2
883,H,6289,HB2
856,H,6156,HB2
883,H,6289,HB2
856,H,6156,HB2
883,H,6289,HB2
856,H,6156,HB2
883,H,6289,HB2
856,H,6156,HB2
883,H,6289,HB2
856,H,6156,HB3
883,H,6289,HB3
882,H,6284,HB3
856,H,6156,HB3
883,H,6289,HB3
856,H,6156,HB3
883,H,6289,HB3
856,H,6156,HB3
883,H,6289,HB3
856,H,6156,HB3
883,H,6289,HB3
856,H,6156,HB3
883,H,6289,HB3
856,H,6156,HB3
883,H,6289,HB3
856,H,6156,HB3
883,H,6289,HB3
856,H,6156,HB3
883,H,6289,HB3
856,H,6156,HB3
883,H,6289,HB3
856,H,6156,HB3
883,H,6289,HB3
856,H,6156,HB3
883,H,6289,HB3
856,H,6156,HB3
883,H,6289,HB3
856,H,6156,HB3
883,H,6289,HB3
856,H,6156,HB3
883,H,6289,HB3
856,H,6156,HB3
883,H,6289,HB3
856,H,6156,HB3
883,H,6289,HB3
856,H,6156,HB3
883,H,6289,HB3
856,H,6156,HB3
883,H,6289,HB3
856,H,6156,HB3
883,H,6289,HB3
856,C,6154,C
883,C,6287,C
882,C,6282,C
856,C,6154,C
883,C,6287,C
856,C,6154,C
883,C,6287,C
856,C,6154,C
883,C,6287,C
856,C,6154,C
883,C,6287,C
856,C,6154,C
883,C,6287,C
856,C,6154,C
883,C,6287,C
856,C,6154,C
883,C,6287,C
856,C,6154,C
883,C,6287,C
856,C,6154,C
883,C,6287,C
856,C,6154,C
883,C,6287,C
856,C,6154,C
883,C,6287,C
856,C,6154,C
883,C,6287,C
856,C,6154,C
883,C,6287,C
856,C,6154,C
883,C,6287,C
856,C,6154,C
883,C,6287,C
856,C,6154,C
883,C,6287,C
856,C,6154,C
883,C,6287,C
856,C,6154,C
883,C,6287,C
856,C,6154,C
883,C,6287,C
856,C,6154,CA
883,C,6287,CA
882,C,6282,CA
856,C,6154,CA
883,C,6287,CA
856,C,6154,CA
883,C,6287,CA
856,C,6154,CA
883,C,6287,CA
856,C,6154,CA
883,C,6287,CA
856,C,6154,CA
883,C,6287,CA
856,C,6154,CA
883,C,6287,CA
856,C,6154,CA
883,C,6287,CA
856,C,6154,CA
883,C,6287,CA
856,C,6154,CA
883,C,6287,CA
856,C,6154,CA
883,C,6287,CA
856,C,6154,CA
883,C,6287,CA
856,C,6154,CA
883,C,6287,CA
856,C,6154,CA
883,C,6287,CA
856,C,6154,CA
883,C,6287,CA
856,C,6154,CA
883,C,6287,CA
856,C,6154,CA
883,C,6287,CA
856,C,6154,CA
883,C,6287,CA
856,C,6154,CA
883,C,6287,CA
856,C,6154,CA
883,C,6287,CA
856,C,6154,CB
883,C,6287,CB
882,C,6282,CB
856,C,6154,CB
883,C,6287,CB
856,C,6154,CB
883,C,6287,CB
856,C,6154,CB
883,C,6287,CB
856,C,6154,CB
883,C,6287,CB
856,C,6154,CB
883,C,6287,CB
856,C,6154,CB
883,C,6287,CB
856,C,6154,CB
883,C,6287,CB
856,C,6154,CB
883,C,6287,CB
856,C,6154,CB
883,C,6287,CB
856,C,6154,CB
883,C,6287,CB
856,C,6154,CB
883,C,6287,CB
856,C,6154,CB
883,C,6287,CB
856,C,6154,CB
883,C,6287,CB
856,C,6154,CB
883,C,6287,CB
856,C,6154,CB
883,C,6287,CB
856,C,6154,CB
883,C,6287,CB
856,C,6154,CB
883,C,6287,CB
856,C,6154,CB
883,C,6287,CB
856,C,6154,CB
883,C,6287,CB
856,H,6156,H
883,H,6289,H
882,H,6284,H
856,H,6156,H
883,H,6289,H
856,H,6156,H
883,H,6289,H
856,H,6156,H
883,H,6289,H
856,H,6156,H
883,H,6289,H
856,H,6156,H
883,H,6289,H
856,H,6156,H
883,H,6289,H
856,H,6156,H
883,H,6289,H
856,H,6156,H
883,H,6289,H
856,H,6156,H
883,H,6289,H
856,H,6156,H
883,H,6289,H
856,H,6156,H
883,H,6289,H
856,H,6156,H
883,H,6289,H
856,H,6156,H
883,H,6289,H
856,H,6156,H
883,H,6289,H
856,H,6156,H
883,H,6289,H
856,H,6156,H
883,H,6289,H
856,H,6156,H
883,H,6289,H
856,H,6156,H
883,H,6289,H
856,H,6156,H
883,H,6289,H
856,H,6156,HA
883,H,6289,HA
882,H,6284,HA
856,H,6156,HA
883,H,6289,HA
856,H,6156,HA
883,H,6289,HA
856,H,6156,HA
883,H,6289,HA
856,H,6156,HA
883,H,6289,HA
856,H,6156,HA
883,H,6289,HA
856,H,6156,HA
883,H,6289,HA
856,H,6156,HA
883,H,6289,HA
856,H,6156,HA
883,H,6289,HA
856,H,6156,HA
883,H,6289,HA
856,H,6156,HA
883,H,6289,HA
856,H,6156,HA
883,H,6289,HA
856,H,6156,HA
883,H,6289,HA
856,H,6156,HA
883,H,6289,HA
856,H,6156,HA
883,H,6289,HA
856,H,6156,HA
883,H,6289,HA
856,H,6156,HA
883,H,6289,HA
856,H,6156,HA
883,H,6289,HA
856,H,6156,HA
883,H,6289,HA
856,H,6156,HA
883,H,6289,HA
856,H,6156,HG
883,H,6289,HG
882,H,6284,HG
856,H,6156,HG
883,H,6289,HG
856,H,6156,HG
883,H,6289,HG
856,H,6156,HG
883,H,6289,HG
856,H,6156,HG
883,H,6289,HG
856,H,6156,HG
883,H,6289,HG
856,H,6156,HG
883,H,6289,HG
856,H,6156,HG
883,H,6289,HG
856,H,6156,HG
883,H,6289,HG
856,H,6156,HG
883,H,6289,HG
856,H,6156,HG
883,H,6289,HG
856,H,6156,HG
883,H,6289,HG
856,H,6156,HG
883,H,6289,HG
856,H,6156,HG
883,H,6289,HG
856,H,6156,HG
883,H,6289,HG
856,H,6156,HG
883,H,6289,HG
856,H,6156,HG
883,H,6289,HG
856,H,6156,HG
883,H,6289,HG
856,H,6156,HG
883,H,6289,HG
856,H,6156,HG
883,H,6289,HG
856,N,6153,N
883,N,6286,N
882,N,6281,N
856,N,6153,N
883,N,6286,N
856,N,6153,N
883,N,6286,N
856,N,6153,N
883,N,6286,N
856,N,6153,N
883,N,6286,N
856,N,6153,N
883,N,6286,N
856,N,6153,N
883,N,6286,N
856,N,6153,N
883,N,6286,N
856,N,6153,N
883,N,6286,N
856,N,6153,N
883,N,6286,N
856,N,6153,N
883,N,6286,N
856,N,6153,N
883,N,6286,N
856,N,6153,N
883,N,6286,N
856,N,6153,N
883,N,6286,N
856,N,6153,N
883,N,6286,N
856,N,6153,N
883,N,6286,N
856,N,6153,N
883,N,6286,N
856,N,6153,N
883,N,6286,N
856,N,6153,N
883,N,6286,N
856,N,6153,N
883,N,6286,N
856,O,6155,O
883,O,6288,O
882,O,6283,O
856,O,6155,O
883,O,6288,O
856,O,6155,O
883,O,6288,O
856,O,6155,O
883,O,6288,O
856,O,6155,O
883,O,6288,O
856,O,6155,O
883,O,6288,O
856,O,6155,O
883,O,6288,O
856,O,6155,O
883,O,6288,O
856,O,6155,O
883,O,6288,O
856,O,6155,O
883,O,6288,O
856,O,6155,O
883,O,6288,O
856,O,6155,O
883,O,6288,O
856,O,6155,O
883,O,6288,O
856,O,6155,O
883,O,6288,O
856,O,6155,O
883,O,6288,O
856,O,6155,O
883,O,6288,O
856,O,6155,O
883,O,6288,O
856,O,6155,O
883,O,6288,O
856,O,6155,O
883,O,6288,O
856,O,6155,O
883,O,6288,O
856,O,6155,OG
883,O,6288,OG
882,O,6283,OG
856,O,6155,OG
883,O,6288,OG
856,O,6155,OG
883,O,6288,OG
856,O,6155,OG
883,O,6288,OG
856,O,6155,OG
883,O,6288,OG
856,O,6155,OG
883,O,6288,OG
856,O,6155,OG
883,O,6288,OG
856,O,6155,OG
883,O,6288,OG
856,O,6155,OG
883,O,6288,OG
856,O,6155,OG
883,O,6288,OG
856,O,6155,OG
883,O,6288,OG
856,O,6155,OG
883,O,6288,OG
856,O,6155,OG
883,O,6288,OG
856,O,6155,OG
883,O,6288,OG
856,O,6155,OG
883,O,6288,OG
856,O,6155,OG
883,O,6288,OG
856,O,6155,OG
883,O,6288,OG
856,O,6155,OG
883,O,6288,OG
856,O,6155,OG
883,O,6288,OG
856,O,6155,OG
883,O,6288,OG
856,H,6156,HD11
856,H,6156,HD11
856,H,6156,HD11
856,H,6156,HD11
856,H,6156,HD11
856,H,6156,HD11
856,H,6156,HD11
856,H,6156,HD11
856,H,6156,HD11
856,H,6156,HD11
856,H,6156,HD11
856,H,6156,HD11
856,H,6156,HD11
856,H,6156,HD11
856,H,6156,HD11
856,H,6156,HD11
856,H,6156,HD11
856,H,6156,HD11
856,H,6156,HD11
856,H,6156,HD11
856,H,6156,HG12
856,H,6156,HG12
856,H,6156,HG12
856,H,6156,HG12
856,H,6156,HG12
856,H,6156,HG12
856,H,6156,HG12
856,H,6156,HG12
856,H,6156,HG12
856,H,6156,HG12
856,H,6156,HG12
856,H,6156,HG12
856,H,6156,HG12
856,H,6156,HG12
856,H,6156,HG12
856,H,6156,HG12
856,H,6156,HG12
856,H,6156,HG12
856,H,6156,HG12
856,H,6156,HG12
856,H,6156,HG21
856,H,6156,HG21
856,H,6156,HG21
856,H,6156,HG21
856,H,6156,HG21
856,H,6156,HG21
856,H,6156,HG21
856,H,6156,HG21
856,H,6156,HG21
856,H,6156,HG21
856,H,6156,HG21
856,H,6156,HG21
856,H,6156,HG21
856,H,6156,HG21
856,H,6156,HG21
856,H,6156,HG21
856,H,6156,HG21
856,H,6156,HG21
856,H,6156,HG21
856,H,6156,HG21
856,H,6156,HD12
856,H,6156,HD12
856,H,6156,HD12
856,H,6156,HD12
856,H,6156,HD12
856,H,6156,HD12
856,H,6156,HD12
856,H,6156,HD12
856,H,6156,HD12
856,H,6156,HD12
856,H,6156,HD12
856,H,6156,HD12
856,H,6156,HD12
856,H,6156,HD12
856,H,6156,HD12
856,H,6156,HD12
856,H,6156,HD12
856,H,6156,HD12
856,H,6156,HD12
856,H,6156,HD12
856,H,6156,HG13
856,H,6156,HG13
856,H,6156,HG13
856,H,6156,HG13
856,H,6156,HG13
856,H,6156,HG13
856,H,6156,HG13
856,H,6156,HG13
856,H,6156,HG13
856,H,6156,HG13
856,H,6156,HG13
856,H,6156,HG13
856,H,6156,HG13
856,H,6156,HG13
856,H,6156,HG13
856,H,6156,HG13
856,H,6156,HG13
856,H,6156,HG13
856,H,6156,HG13
856,H,6156,HG13
856,H,6156,HG22
856,H,6156,HG22
856,H,6156,HG22
856,H,6156,HG22
856,H,6156,HG22
856,H,6156,HG22
856,H,6156,HG22
856,H,6156,HG22
856,H,6156,HG22
856,H,6156,HG22
856,H,6156,HG22
856,H,6156,HG22
856,H,6156,HG22
856,H,6156,HG22
856,H,6156,HG22
856,H,6156,HG22
856,H,6156,HG22
856,H,6156,HG22
856,H,6156,HG22
856,H,6156,HG22
856,H,6156,HD13
856,H,6156,HD13
856,H,6156,HD13
856,H,6156,HD13
856,H,6156,HD13
856,H,6156,HD13
856,H,6156,HD13
856,H,6156,HD13
856,H,6156,HD13
856,H,6156,HD13
856,H,6156,HD13
856,H,6156,HD13
856,H,6156,HD13
856,H,6156,HD13
856,H,6156,HD13
856,H,6156,HD13
856,H,6156,HD13
856,H,6156,HD13
856,H,6156,HD13
856,H,6156,HD13
856,H,6156,HG23
856,H,6156,HG23
856,H,6156,HG23
856,H,6156,HG23
856,H,6156,HG23
856,H,6156,HG23
856,H,6156,HG23
856,H,6156,HG23
856,H,6156,HG23
856,H,6156,HG23
856,H,6156,HG23
856,H,6156,HG23
856,H,6156,HG23
856,H,6156,HG23
856,H,6156,HG23
856,H,6156,HG23
856,H,6156,HG23
856,H,6156,HG23
856,H,6156,HG23
856,H,6156,HG23
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CD1
856,C,6154,CD1
856,C,6154,CD1
856,C,6154,CD1
856,C,6154,CD1
856,C,6154,CD1
856,C,6154,CD1
856,C,6154,CD1
856,C,6154,CD1
856,C,6154,CD1
856,C,6154,CD1
856,C,6154,CD1
856,C,6154,CD1
856,C,6154,CD1
856,C,6154,CD1
856,C,6154,CD1
856,C,6154,CD1
856,C,6154,CD1
856,C,6154,CD1
856,C,6154,CD1
856,C,6154,CG1
856,C,6154,CG1
856,C,6154,CG1
856,C,6154,CG1
856,C,6154,CG1
856,C,6154,CG1
856,C,6154,CG1
856,C,6154,CG1
856,C,6154,CG1
856,C,6154,CG1
856,C,6154,CG1
856,C,6154,CG1
856,C,6154,CG1
856,C,6154,CG1
856,C,6154,CG1
856,C,6154,CG1
856,C,6154,CG1
856,C,6154,CG1
856,C,6154,CG1
856,C,6154,CG1
856,C,6154,CG2
856,C,6154,CG2
856,C,6154,CG2
856,C,6154,CG2
856,C,6154,CG2
856,C,6154,CG2
856,C,6154,CG2
856,C,6154,CG2
856,C,6154,CG2
856,C,6154,CG2
856,C,6154,CG2
856,C,6154,CG2
856,C,6154,CG2
856,C,6154,CG2
856,C,6154,CG2
856,C,6154,CG2
856,C,6154,CG2
856,C,6154,CG2
856,C,6154,CG2
856,C,6154,CG2
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HB
856,H,6156,HB
856,H,6156,HB
856,H,6156,HB
856,H,6156,HB
856,H,6156,HB
856,H,6156,HB
856,H,6156,HB
856,H,6156,HB
856,H,6156,HB
856,H,6156,HB
856,H,6156,HB
856,H,6156,HB
856,H,6156,HB
856,H,6156,HB
856,H,6156,HB
856,H,6156,HB
856,H,6156,HB
856,H,6156,HB
856,H,6156,HB
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
454,C,4155,C
454,C,4155,CA
454,C,4155,CB
454,C,4155,CD1
454,C,4155,CD2
454,C,4155,CE1
454,C,4155,CE2
454,C,4155,CG
454,C,4155,CZ
454,N,4154,N
454,O,4156,O
883,H,6289,HB2
882,H,6284,HB2
883,H,6289,HB2
883,H,6289,HB2
883,H,6289,HB2
883,H,6289,HB2
883,H,6289,HB2
883,H,6289,HB2
883,H,6289,HB2
883,H,6289,HB2
883,H,6289,HB2
883,H,6289,HB2
883,H,6289,HB2
883,H,6289,HB2
883,H,6289,HB2
883,H,6289,HB2
883,H,6289,HB2
883,H,6289,HB2
883,H,6289,HB2
883,H,6289,HB2
883,H,6289,HB2
883,H,6289,HB3
882,H,6284,HB3
883,H,6289,HB3
883,H,6289,HB3
883,H,6289,HB3
883,H,6289,HB3
883,H,6289,HB3
883,H,6289,HB3
883,H,6289,HB3
883,H,6289,HB3
