RHS,ID,RIVER,LOCATION,ERECTED,PURPOSE,LENGTH,LANES,CLEAR-G,T-OR-D,MATERIAL,SPAN,REL-L,TYPE
RIVER,1.0,2.0,?,1.0,1.0,630.0,?,?,1.0,2.0,?,1.0,?
RIVER,?,2.0,?,5.0,?,60.0,0.4,?,?,?,?,0.0,?
RIVER,?,2.0,?,0.0,?,630.0,0.4,?,?,?,?,1.0,?
RIVER,?,2.0,?,1.0,?,70.0,0.4,?,?,?,?,1.0,?
RIVER,?,2.0,?,4.0,1.0,630.0,0.4,0.0,?,?,?,1.0,2.0
RIVER,?,2.0,?,15.0,?,60.0,?,0.0,1.0,?,2.0,0.0,?
RIVER,?,2.0,?,7.0,?,60.0,0.4,?,?,?,2.0,0.0,?
RIVER,1.0,2.0,?,31.0,?,60.0,0.4,?,0.0,2.0,?,0.0,?
RIVER,?,2.0,?,15.0,?,30.0,?,0.0,?,?,2.0,0.0,?
RIVER,?,2.0,?,?,1.0,70.0,?,?,1.0,2.0,2.0,?,2.0
RIVER,?,2.0,?,0.0,?,70.0,?,1.0,?,?,?,?,?
RIVER,?,2.0,?,15.0,?,60.0,0.4,0.0,?,?,2.0,0.0,?
RIVER,1.0,2.0,?,1.0,1.0,630.0,?,?,?,2.0,2.0,1.0,?
RIVER,?,2.0,?,15.0,?,60.0,?,?,1.0,2.0,2.0,0.0,?
RIVER,?,2.0,?,5.0,1.0,60.0,?,?,?,?,2.0,1.0,?
RIVER,?,2.0,?,7.0,1.0,60.0,?,?,?,?,2.0,0.0,?
RIVER,?,2.0,?,2.0,?,630.0,0.4,?,?,?,?,0.0,2.0
RIVER,?,2.0,?,15.0,?,70.0,0.4,?,?,?,?,0.0,2.0
RIVER,?,2.0,?,15.0,1.0,30.0,?,?,?,2.0,2.0,0.0,?
RIVER,?,2.0,?,3.0,1.0,60.0,?,?,?,2.0,?,1.0,?
RIVER,?,2.0,?,1.0,1.0,150.0,?,?,?,2.0,?,1.0,?
RIVER,1.0,2.0,?,1.0,1.0,310.0,?,?,?,2.0,?,1.0,?
RIVER,?,2.0,?,5.0,1.0,60.0,0.4,0.0,?,?,?,?,?
RIVER,1.0,2.0,?,7.0,?,60.0,0.4,?,?,?,?,0.0,?
RIVER,?,2.0,?,5.0,1.0,60.0,?,0.0,?,2.0,2.0,?,?
RIVER,1.0,2.0,?,7.0,1.0,150.0,?,0.0,?,2.0,?,0.0,2.0
RIVER,1.0,2.0,?,15.0,?,60.0,0.4,?,?,2.0,?,0.0,?
RIVER,1.0,2.0,?,31.0,?,50.0,0.4,?,?,2.0,?,0.0,?
RIVER,1.0,2.0,?,0.0,?,630.0,?,?,?,?,?,0.0,?
RIVER,1.0,2.0,?,1.0,?,70.0,?,?,?,?,?,0.0,?
RIVER,1.0,2.0,?,2.0,?,60.0,?,?,?,?,?,0.0,?
RIVER,?,2.0,?,5.0,1.0,60.0,0.4,?,?,?,?,1.0,?
RIVER,?,2.0,?,1.0,1.0,630.0,0.4,?,?,?,?,1.0,?
RIVER,1.0,2.0,?,1.0,?,310.0,0.4,?,?,?,?,1.0,2.0
RIVER,?,2.0,?,0.0,?,150.0,?,?,?,?,2.0,1.0,?
RIVER,?,2.0,?,1.0,?,70.0,?,?,?,?,2.0,1.0,?
RIVER,?,2.0,?,7.0,?,60.0,?,?,?,?,2.0,0.0,?
RIVER,?,2.0,?,?,1.0,20.0,?,?,?,?,2.0,?,2.0
RIVER,1.0,2.0,?,7.0,1.0,60.0,0.4,?,?,?,?,1.0,?
RIVER,1.0,2.0,?,1.0,1.0,630.0,0.4,?,?,?,?,1.0,?
RIVER,?,2.0,?,31.0,1.0,30.0,?,?,?,?,2.0,?,2.0
RIVER,?,2.0,?,0.0,?,150.0,?,1.0,?,?,?,1.0,?
RIVER,?,2.0,?,1.0,?,70.0,?,1.0,?,?,?,1.0,?
RIVER,?,2.0,?,0.0,?,70.0,0.4,?,?,?,?,?,?
RIVER,1.0,2.0,?,0.0,?,?,0.4,?,?,2.0,2.0,1.0,?
RIVER,1.0,2.0,?,31.0,?,50.0,?,?,1.0,2.0,2.0,0.0,?
RIVER,1.0,2.0,?,31.0,?,60.0,?,?,0.0,2.0,2.0,0.0,?
RIVER,?,2.0,?,15.0,1.0,30.0,?,0.0,?,?,2.0,0.0,?
RIVER,?,2.0,?,5.0,1.0,30.0,?,0.0,?,?,2.0,?,?
RIVER,?,2.0,?,4.0,1.0,60.0,?,0.0,?,?,2.0,?,?
RIVER,1.0,2.0,?,0.0,?,?,0.4,?,?,?,2.0,0.0,?
RIVER,?,2.0,?,1.0,?,70.0,?,?,?,?,?,0.0,?
RIVER,?,2.0,?,2.0,?,60.0,?,?,?,?,?,0.0,?
RIVER,?,2.0,?,0.0,?,150.0,?,?,?,?,?,0.0,?
RIVER,?,2.0,?,7.0,?,30.0,?,?,?,?,?,0.0,?
RIVER,?,2.0,?,15.0,?,30.0,?,0.0,?,2.0,2.0,0.0,?
RIVER,1.0,2.0,?,7.0,?,60.0,?,?,?,?,2.0,0.0,?
RIVER,?,2.0,?,0.0,?,70.0,?,?,?,2.0,?,?,?
RIVER,?,2.0,?,15.0,?,30.0,?,?,?,2.0,2.0,0.0,?
RIVER,?,2.0,?,3.0,1.0,60.0,?,1.0,?,?,?,1.0,?
RIVER,1.0,2.0,?,31.0,1.0,60.0,0.4,?,0.0,2.0,?,1.0,?
RIVER,?,2.0,?,?,1.0,70.0,0.4,0.0,?,?,?,?,2.0
RIVER,?,2.0,?,15.0,?,30.0,0.4,?,?,2.0,?,0.0,?
RIVER,1.0,2.0,?,7.0,?,150.0,?,0.0,?,2.0,2.0,0.0,2.0
RIVER,1.0,0.0,?,31.0,?,30.0,?,0.0,?,?,2.0,0.0,?
RIVER,1.0,0.0,?,7.0,?,60.0,?,0.0,?,?,2.0,0.0,?
RIVER,?,0.0,6.0,7.0,?,630.0,?,?,0.0,?,?,0.0,?
RIVER,1.0,0.0,?,4.0,1.0,630.0,0.4,0.0,?,?,?,1.0,2.0
RIVER,1.0,0.0,?,?,1.0,30.0,?,?,?,?,?,1.0,2.0
RIVER,?,0.0,4.0,31.0,?,630.0,0.4,?,0.0,?,?,1.0,?
RIVER,?,0.0,?,2.0,?,630.0,0.4,?,?,?,2.0,0.0,2.0
RIVER,1.0,0.0,?,31.0,1.0,150.0,0.4,0.0,?,?,2.0,?,2.0
RIVER,1.0,0.0,?,4.0,1.0,630.0,0.4,0.0,?,?,2.0,?,2.0
RIVER,1.0,0.0,?,4.0,1.0,630.0,?,0.0,1.0,2.0,?,0.0,2.0
RIVER,1.0,0.0,?,4.0,1.0,630.0,?,0.0,0.0,2.0,?,0.0,2.0
RIVER,1.0,0.0,?,?,1.0,0.0,?,?,?,?,?,?,2.0
RIVER,?,0.0,?,0.0,?,40.0,?,?,?,?,2.0,?,?
RIVER,1.0,0.0,4.0,?,?,630.0,0.4,?,0.0,?,?,1.0,?
RIVER,?,0.0,?,3.0,1.0,310.0,0.4,?,?,?,?,1.0,2.0
RIVER,?,0.0,6.0,?,?,20.0,?,?,?,?,?,?,2.0
RIVER,?,0.0,1.0,?,?,310.0,?,?,?,?,?,?,2.0
RIVER,1.0,0.0,?,5.0,1.0,150.0,?,0.0,?,2.0,2.0,?,2.0
RIVER,1.0,0.0,?,4.0,1.0,310.0,?,0.0,?,2.0,2.0,?,2.0
RIVER,1.0,0.0,?,7.0,1.0,40.0,?,?,?,?,?,?,2.0
RIVER,1.0,0.0,?,3.0,1.0,70.0,?,?,?,?,?,?,2.0
RIVER,1.0,0.0,2.0,?,?,630.0,0.4,?,?,?,?,?,?
RIVER,1.0,0.0,4.0,?,?,150.0,0.4,?,?,?,?,?,?
RIVER,?,0.0,6.0,?,?,0.0,?,0.0,?,?,?,?,?
RIVER,?,0.0,?,3.0,1.0,630.0,0.4,?,0.0,?,?,1.0,2.0
RIVER,?,0.0,?,15.0,?,10.0,?,?,?,2.0,?,0.0,?
RIVER,?,0.0,?,1.0,?,40.0,?,?,?,2.0,?,1.0,?
RIVER,?,0.0,1.0,?,?,?,0.4,?,?,?,?,1.0,?
RIVER,1.0,0.0,?,0.0,?,?,0.4,?,?,?,2.0,0.0,2.0
RIVER,?,0.0,?,?,?,0.0,0.4,?,?,2.0,?,0.0,?
RIVER,1.0,0.0,?,?,1.0,0.0,0.4,?,?,2.0,?,?,?
RIVER,?,0.0,6.0,?,?,40.0,?,?,?,2.0,?,1.0,2.0
RIVER,?,0.0,?,15.0,1.0,10.0,?,?,?,?,?,1.0,2.0
RIVER,?,0.0,?,7.0,1.0,70.0,?,?,?,?,?,0.0,2.0
RIVER,1.0,0.0,5.0,31.0,1.0,?,?,?,?,?,2.0,?,2.0
RIVER,1.0,0.0,?,1.0,?,310.0,0.4,?,?,?,2.0,?,2.0
RIVER,1.0,0.0,?,31.0,1.0,60.0,0.4,0.0,?,?,2.0,?,?
RIVER,1.0,0.0,6.0,?,1.0,630.0,?,?,?,?,2.0,?,2.0
RIVER,1.0,0.0,4.0,?,1.0,310.0,?,?,?,?,2.0,1.0,?
RIVER,?,0.0,6.0,15.0,1.0,310.0,?,?,?,?,?,0.0,?
RIVER,1.0,0.0,?,3.0,1.0,310.0,?,?,?,2.0,?,1.0,2.0
RIVER,?,0.0,1.0,?,?,?,0.4,?,?,?,2.0,?,?
RIVER,?,0.0,?,2.0,?,310.0,0.4,0.0,?,?,?,0.0,2.0
RIVER,?,0.0,?,7.0,?,150.0,0.4,0.0,?,?,?,0.0,2.0
RIVER,?,0.0,?,?,1.0,70.0,0.4,0.0,?,?,?,1.0,2.0
RIVER,?,0.0,0.0,?,1.0,?,?,?,?,?,?,?,?
RIVER,1.0,0.0,?,?,1.0,70.0,0.4,?,?,2.0,2.0,?,2.0
RIVER,1.0,0.0,6.0,7.0,?,?,?,?,?,2.0,2.0,1.0,2.0
RIVER,1.0,0.0,5.0,15.0,1.0,?,?,0.0,0.0,?,2.0,?,?
RIVER,1.0,0.0,?,7.0,1.0,40.0,?,?,?,?,2.0,1.0,?
RIVER,?,0.0,0.0,?,?,?,?,?,?,?,?,1.0,?
RIVER,1.0,0.0,6.0,4.0,?,?,?,?,0.0,2.0,2.0,?,?
RIVER,1.0,0.0,?,31.0,1.0,30.0,?,0.0,?,?,?,0.0,?
RIVER,1.0,0.0,?,7.0,1.0,60.0,?,0.0,?,?,?,0.0,?
RIVER,?,0.0,6.0,?,1.0,70.0,?,0.0,?,?,?,?,2.0
RIVER,1.0,0.0,6.0,?,?,?,0.4,?,?,?,2.0,1.0,2.0
RIVER,1.0,0.0,6.0,31.0,?,310.0,0.4,?,?,?,?,?,?
RIVER,1.0,0.0,3.0,31.0,?,630.0,0.4,?,?,?,?,?,?
RIVER,1.0,0.0,1.0,?,?,?,?,?,?,2.0,?,?,?
RIVER,?,0.0,6.0,?,?,630.0,0.4,?,0.0,?,?,0.0,2.0
RIVER,?,0.0,5.0,?,?,630.0,0.4,?,0.0,?,?,1.0,2.0
RIVER,1.0,0.0,6.0,31.0,1.0,150.0,?,?,?,?,?,0.0,?
RIVER,?,0.0,6.0,?,?,20.0,?,0.0,?,?,?,1.0,?
RIVER,?,0.0,1.0,31.0,?,?,?,?,?,?,2.0,1.0,?
RIVER,1.0,0.0,1.0,?,?,?,0.4,?,?,?,?,?,?
RIVER,1.0,0.0,3.0,15.0,?,?,0.4,?,?,?,?,?,?
RIVER,1.0,0.0,5.0,1.0,?,?,0.4,?,?,?,?,?,?
RIVER,?,0.0,?,7.0,1.0,40.0,?,?,?,?,?,?,2.0
RIVER,?,0.0,?,15.0,1.0,0.0,?,?,?,?,?,?,2.0
RIVER,?,0.0,?,3.0,1.0,70.0,?,?,?,?,?,?,2.0
RIVER,1.0,0.0,6.0,15.0,1.0,?,?,?,0.0,2.0,2.0,?,?
RIVER,?,0.0,?,3.0,1.0,40.0,?,?,?,?,?,0.0,?
RIVER,?,0.0,?,3.0,1.0,30.0,?,?,?,?,?,1.0,?
RIVER,1.0,0.0,4.0,15.0,1.0,?,?,0.0,?,?,2.0,?,?
RIVER,?,0.0,?,3.0,?,60.0,0.4,0.0,?,?,?,0.0,?
RIVER,1.0,0.0,?,3.0,?,150.0,?,?,?,2.0,2.0,0.0,2.0
RIVER,1.0,0.0,?,1.0,?,630.0,?,?,?,2.0,2.0,0.0,2.0
RIVER,?,0.0,6.0,15.0,?,40.0,?,?,?,?,?,1.0,?
RIVER,?,0.0,6.0,7.0,?,310.0,?,?,?,?,?,0.0,?
RIVER,?,0.0,6.0,31.0,?,20.0,?,?,?,?,?,1.0,?
RIVER,?,0.0,3.0,7.0,?,630.0,?,?,?,?,?,0.0,?
RIVER,?,0.0,2.0,15.0,?,630.0,?,?,?,?,?,0.0,?
RIVER,?,0.0,6.0,15.0,?,70.0,?,?,?,?,?,0.0,?
RIVER,1.0,0.0,?,7.0,1.0,40.0,?,?,?,?,?,0.0,?
RIVER,?,0.0,?,2.0,?,630.0,0.4,0.0,0.0,?,?,0.0,2.0
RIVER,?,0.0,2.0,?,1.0,?,0.4,0.0,?,?,2.0,1.0,?
RIVER,1.0,0.0,5.0,1.0,?,?,?,0.0,0.0,?,?,?,?
RIVER,?,0.0,?,15.0,1.0,20.0,0.4,0.0,?,?,?,0.0,?
RIVER,?,0.0,?,31.0,1.0,0.0,0.4,0.0,?,?,?,0.0,?
RIVER,?,0.0,6.0,15.0,?,630.0,0.4,?,0.0,?,2.0,?,?
RIVER,?,0.0,6.0,?,1.0,40.0,?,?,?,?,?,?,2.0
RIVER,?,0.0,3.0,?,1.0,70.0,?,?,?,?,?,?,2.0
RIVER,1.0,0.0,?,0.0,?,630.0,?,?,?,?,?,?,2.0
RIVER,?,0.0,6.0,7.0,?,630.0,?,?,0.0,?,2.0,?,?
RIVER,1.0,0.0,?,?,?,70.0,0.4,?,?,?,?,0.0,2.0
RIVER,1.0,0.0,4.0,?,?,?,0.4,?,0.0,?,2.0,1.0,?
RIVER,1.0,0.0,6.0,31.0,?,?,0.4,?,0.0,?,2.0,?,?
RIVER,1.0,0.0,?,?,1.0,70.0,0.4,?,0.0,?,?,?,2.0
RIVER,?,0.0,4.0,?,?,630.0,0.4,0.0,0.0,?,2.0,1.0,?
RIVER,?,0.0,1.0,31.0,?,630.0,?,?,?,?,?,?,2.0
RIVER,?,0.0,6.0,3.0,?,630.0,?,?,?,?,?,?,2.0
RIVER,?,0.0,?,3.0,1.0,630.0,0.4,?,?,?,2.0,?,2.0
RIVER,1.0,0.0,6.0,?,?,70.0,?,0.0,?,?,?,?,2.0
RIVER,?,0.0,6.0,?,?,630.0,0.4,?,0.0,?,2.0,1.0,2.0
RIVER,?,0.0,4.0,?,?,150.0,0.4,?,?,?,2.0,1.0,?
RIVER,?,0.0,?,3.0,1.0,150.0,0.4,?,?,?,?,?,2.0
RIVER,?,0.0,?,7.0,1.0,70.0,0.4,?,?,?,?,?,2.0
RIVER,?,0.0,?,31.0,1.0,0.0,0.4,?,?,?,?,?,2.0
RIVER,?,0.0,1.0,15.0,1.0,630.0,?,?,0.0,?,?,?,?
RIVER,1.0,0.0,?,2.0,?,310.0,?,?,?,2.0,?,0.0,2.0
RIVER,1.0,0.0,?,1.0,?,310.0,?,?,?,2.0,?,1.0,2.0
RIVER,?,0.0,3.0,?,?,20.0,?,?,?,?,?,?,?
RIVER,?,0.0,0.0,?,?,310.0,?,?,?,?,?,?,?
RIVER,?,0.0,5.0,?,?,0.0,?,?,?,?,?,?,?
RIVER,?,0.0,1.0,?,?,70.0,?,?,?,?,?,?,?
RIVER,?,0.0,?,?,?,30.0,?,0.0,?,?,2.0,0.0,2.0
RIVER,?,0.0,2.0,?,?,630.0,?,?,?,?,2.0,?,2.0
RIVER,?,0.0,6.0,?,?,70.0,?,?,?,?,2.0,?,2.0
RIVER,?,0.0,2.0,?,?,?,0.4,?,?,2.0,2.0,1.0,?
RIVER,1.0,0.0,?,?,1.0,20.0,?,0.0,?,?,?,0.0,?
RIVER,?,0.0,6.0,15.0,1.0,630.0,?,?,0.0,?,2.0,?,?
RIVER,?,0.0,5.0,?,?,310.0,0.4,?,0.0,2.0,?,?,2.0
RIVER,1.0,0.0,5.0,15.0,1.0,?,?,?,0.0,?,2.0,?,?
RIVER,1.0,0.0,6.0,2.0,1.0,?,?,?,0.0,?,2.0,?,?
RIVER,1.0,0.0,3.0,15.0,1.0,?,?,?,?,?,?,0.0,?
RIVER,?,0.0,?,15.0,1.0,70.0,?,?,1.0,?,2.0,?,2.0
RIVER,1.0,0.0,6.0,15.0,1.0,630.0,?,?,0.0,?,?,0.0,?
RIVER,1.0,0.0,6.0,?,1.0,?,?,?,?,2.0,2.0,1.0,2.0
RIVER,?,0.0,?,?,1.0,10.0,?,0.0,?,?,?,?,2.0
RIVER,?,0.0,6.0,?,?,310.0,0.4,0.0,?,?,?,0.0,2.0
